"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"36439",34910,460,"Oligoria maculata",2009,9,28.321251,-81.414814
"59830",57142,460,"Oligoria maculata",2013,7,38.79854,-76.69929
"87241",110169,460,"Oligoria maculata",2003,4,31.350926,-81.44577
"111789",188822,460,"Oligoria maculata",2015,5,32.969067,-79.811296
"111810",188840,460,"Oligoria maculata",2015,5,32.969067,-79.811296
"111816",188872,460,"Oligoria maculata",2015,5,32.969067,-79.811296
