"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"34197",32692,469,"Pellicia arina",2002,11,26.080978,-98.136004
"90257",113611,469,"Pellicia arina",2014,10,26.179819,-98.366518
"90429",113726,469,"Pellicia arina",2014,10,26.179819,-98.366518
"90436",113778,469,"Pellicia arina",2014,10,26.179819,-98.366518
"91103",114905,469,"Pellicia arina",2014,10,26.179819,-98.366518
"91172",115043,469,"Pellicia arina",2014,10,26.179819,-98.366518
"96167",130883,469,"Pellicia arina",2015,5,26.179819,-98.366518
