"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"63",79996,49,"Polites mystic",2014,6,43.315433,-70.759483
"92",134871,49,"Polites mystic",2013,6,44.670789,-77.87899
"95",145351,49,"Polites mystic",2015,7,46.261,-64.9243
"102",161417,49,"Polites mystic",2015,7,46.85694,-66.85686
"106",166256,49,"Polites mystic",2015,6,44.177145,-81.373941
"202",115,49,"Polites mystic",2011,7,51.1321113,-114.6949699
"307",154,49,"Polites mystic",2010,6,45.9960982,-73.3127869
"334",59745,49,"Polites mystic",2010,6,45.9960982,-73.3127869
"431",239,49,"Polites mystic",2009,7,49.4530149,-78.9965544
"446",59881,49,"Polites mystic",2009,7,49.4530149,-78.9965544
"454",59895,49,"Polites mystic",2009,7,49.4530149,-78.9965544
"470",59909,49,"Polites mystic",2009,7,49.4530149,-78.9965544
"732",60171,49,"Polites mystic",2011,7,48.342453,-77.996062
"735",481,49,"Polites mystic",2011,7,48.342453,-77.996062
"746",487,49,"Polites mystic",2011,7,47.796203,-77.327358
"755",60177,49,"Polites mystic",2011,7,47.796203,-77.327358
"766",60184,49,"Polites mystic",2011,7,48.722944,-78.115399
"770",494,49,"Polites mystic",2011,7,48.722944,-78.115399
"781",505,49,"Polites mystic",2011,7,48.792572,-78.008194
"792",60195,49,"Polites mystic",2011,7,48.792572,-78.008194
"820",60215,49,"Polites mystic",2011,7,49.1219,-77.95398
"834",525,49,"Polites mystic",2011,7,49.1219,-77.95398
"1258",938,49,"Polites mystic",2009,7,49.2069,-79.1471
"1272",60489,49,"Polites mystic",2009,7,49.2069,-79.1471
"1276",60503,49,"Polites mystic",2009,7,49.2069,-79.1471
"1277",60496,49,"Polites mystic",2009,7,49.2069,-79.1471
"1286",947,49,"Polites mystic",2009,6,52.8005173,-112.7130643
"1530",1161,49,"Polites mystic",2011,6,45.389643,-75.706698
"1614",1250,49,"Polites mystic",2011,6,45.4549,-75.67433
"1694",1330,49,"Polites mystic",2007,6,45.384693,-75.706698
"1698",1334,49,"Polites mystic",2007,6,45.389643,-75.706698
"1751",1388,49,"Polites mystic",2007,6,45.389644,-75.218541
"1792",1429,49,"Polites mystic",2007,7,45.389644,-75.218541
"1822",1459,49,"Polites mystic",2007,7,45.2497,-76.1424
"1840",1477,49,"Polites mystic",2007,7,45.2116,-76.0428
"2178",1808,49,"Polites mystic",2006,7,48.327673,-64.800006
"3646",3260,49,"Polites mystic",2007,7,45.591589,-78.346998
"3700",3315,49,"Polites mystic",2009,6,45.389644,-75.218541
"3716",3329,49,"Polites mystic",2009,6,45.389644,-75.218541
"4281",3934,49,"Polites mystic",2011,7,46.008022,-60.258063
"5702",5334,49,"Polites mystic",2009,6,45.389644,-75.218541
"5712",5344,49,"Polites mystic",2009,6,45.384693,-75.706698
"6146",5781,49,"Polites mystic",2009,7,44.728204,-63.690223
"6704",6390,49,"Polites mystic",2009,6,45.3463,-75.8548
"6711",6397,49,"Polites mystic",2009,6,45.384693,-75.706698
"6717",6403,49,"Polites mystic",2009,6,45.03352,-75.49098
"7581",7237,49,"Polites mystic",2011,7,47.796203,-77.327358
"7590",61317,49,"Polites mystic",2011,7,47.796203,-77.327358
"7599",61324,49,"Polites mystic",2011,7,49.1219,-77.95398
"7606",7244,49,"Polites mystic",2011,7,49.1219,-77.95398
"7683",7330,49,"Polites mystic",2012,6,44.523782,-76.392558
