"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"30232",28856,555,"Callophrys mcfarlandi",2011,3,35.098844,-106.478205
"31253",29867,555,"Callophrys mcfarlandi",2011,5,35.136405,-106.47784
