"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"85",128310,212,"Speyeria zerene",2014,7,42.1799167,-114.2796167
"371",198,212,"Speyeria zerene",2011,7,50.8131626,-120.4470873
"395",215,212,"Speyeria zerene",2011,7,49.0726653,-119.0603965
"606",358,212,"Speyeria zerene",2011,7,50.76493,-120.42972
"693",449,212,"Speyeria zerene",2011,7,50.30913,-119.28371
"1383",1030,212,"Speyeria zerene",2009,8,50.9482391,-114.6910213
"6002",5631,212,"Speyeria zerene",2007,7,49.360264,-114.619836
"16053",15195,212,"Speyeria zerene",2012,7,49.056058,-119.552925
"16099",15246,212,"Speyeria zerene",2012,7,49.03587,-119.5629
"23143",21819,212,"Speyeria zerene",2012,8,49.12219,-119.35628
"30344",66248,212,"Speyeria zerene",2004,6,39.14637,-119.819827
"30358",28969,212,"Speyeria zerene",2004,6,39.14637,-119.819827
"40137",38417,212,"Speyeria zerene",2012,8,49.643108,-109.543098
"42999",41088,212,"Speyeria zerene",2013,6,49.09966,-119.61006
"43568",41616,212,"Speyeria zerene",2013,6,49.08968,-119.63067
"43572",41620,212,"Speyeria zerene",2013,6,49.09604,-119.63451
"48099",45859,212,"Speyeria zerene",2013,7,49.056058,-119.552925
"48105",45862,212,"Speyeria zerene",2013,7,49.03228,-119.56514
"48754",46533,212,"Speyeria zerene",2013,7,49.19244,-119.62411
"48757",46536,212,"Speyeria zerene",2013,7,49.2018,-119.63048
"48791",46573,212,"Speyeria zerene",2013,7,49.15394,-119.41923
"48798",46580,212,"Speyeria zerene",2013,7,49.10657,-119.31652
"49125",46905,212,"Speyeria zerene",2013,7,49.32439,-119.42755
"49209",47007,212,"Speyeria zerene",2013,7,49.056747,-118.849992
"49658",47433,212,"Speyeria zerene",2013,7,49.063957,-118.853166
"51132",48785,212,"Speyeria zerene",2013,8,49.056015,-118.830829
"51146",48800,212,"Speyeria zerene",2013,8,49.051213,-118.836306
"51155",48808,212,"Speyeria zerene",2013,8,49.040367,-118.839983
"51159",48812,212,"Speyeria zerene",2013,8,49.037689,-118.843977
"51176",48829,212,"Speyeria zerene",2013,8,49.065528,-118.818847
"51201",48852,212,"Speyeria zerene",2013,8,49.065528,-118.818847
"51558",49169,212,"Speyeria zerene",2013,8,49.070412,-118.855028
"51567",49177,212,"Speyeria zerene",2013,8,49.0717,-118.854429
"54233",51709,212,"Speyeria zerene",2012,7,40.634636,-115.370543
"55495",52846,212,"Speyeria zerene",2013,8,49.12219,-119.35628
"55500",52851,212,"Speyeria zerene",2013,8,49.12928,-119.37057
"55514",52865,212,"Speyeria zerene",2013,8,49.03587,-119.5629
"57125",54491,212,"Speyeria zerene",2013,8,49.186846,-119.543941
"59646",56975,212,"Speyeria zerene",2013,7,50.265,-114.315
"62333",59790,212,"Speyeria zerene",2011,7,50.8131626,-120.4470873
"62367",59807,212,"Speyeria zerene",2011,7,49.0726653,-119.0603965
"62369",59825,212,"Speyeria zerene",2011,7,49.0726653,-119.0603965
"62515",60048,212,"Speyeria zerene",2011,7,50.76493,-120.42972
"62602",60139,212,"Speyeria zerene",2011,7,50.30913,-119.28371
"70189",71447,212,"Speyeria zerene",2012,7,40.634636,-115.370543
"81806",83444,212,"Speyeria zerene",2013,8,49.600544,-109.803795
"84562",86289,212,"Speyeria zerene",2014,6,49.10657,-119.31652
"85819",108642,212,"Speyeria zerene",1998,8,48.798622,-113.667727
"89157",112111,212,"Speyeria zerene",2014,8,47.974376,-123.489344
"91939",116992,212,"Speyeria zerene",2014,8,49.180904,-119.003757
"91951",117017,212,"Speyeria zerene",2014,8,49.234793,-118.962181
"101776",145434,212,"Speyeria zerene",2015,7,49.91425,-116.91545
