"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"131",58,253,"Polygonia satyrus",2011,7,51.1033183,-115.0233684
"141",59642,253,"Polygonia satyrus",2011,7,51.1033183,-115.0233684
"360",183,253,"Polygonia satyrus",2011,6,50.2615052,-119.0862634
"706",461,253,"Polygonia satyrus",2011,7,49.68226,-119.77353
"1077",776,253,"Polygonia satyrus",2008,6,46.3237351,-75.7807429
"1083",782,253,"Polygonia satyrus",2008,6,46.3237351,-75.7807429
"1086",770,253,"Polygonia satyrus",2008,6,46.3237351,-75.7807429
"1389",1034,253,"Polygonia satyrus",2009,8,50.9482391,-114.6910213
"1446",60592,253,"Polygonia satyrus",2002,8,53.892201,-122.813355
"1447",1063,253,"Polygonia satyrus",2002,8,53.892201,-122.813355
"1587",1223,253,"Polygonia satyrus",2012,3,45.519068,-75.912373
"2354",1989,253,"Polygonia satyrus",2012,4,53.555918,-112.311872
"2395",2029,253,"Polygonia satyrus",2012,4,49.32742,-123.07729
"2442",2081,253,"Polygonia satyrus",2012,4,49.241586,-123.11348
"2749",2383,253,"Polygonia satyrus",2012,3,49.838837,-102.310597
"2750",2385,253,"Polygonia satyrus",2012,3,49.838837,-102.310597
"2751",2386,253,"Polygonia satyrus",2012,3,49.838837,-102.310597
"2756",2388,253,"Polygonia satyrus",2012,3,50.562996,-105.248173
"2758",2390,253,"Polygonia satyrus",2012,3,50.560318,-105.290691
"3455",3066,253,"Polygonia satyrus",2012,4,53.540493,-113.548423
"3461",3072,253,"Polygonia satyrus",2012,4,53.526433,-113.51707
"3464",3075,253,"Polygonia satyrus",2012,4,53.536755,-113.515884
"3477",3089,253,"Polygonia satyrus",2012,4,48.398333,-123.598611
"3765",3378,253,"Polygonia satyrus",2012,4,49.180756,-122.720858
"3767",3379,253,"Polygonia satyrus",2012,4,49.102124,-122.889345
"3768",3381,253,"Polygonia satyrus",2012,4,49.166591,-122.767713
"5749",5379,253,"Polygonia satyrus",2012,5,49.62625,-96.663989
"5759",5389,253,"Polygonia satyrus",2012,5,49.17601,-119.53961
"6009",5638,253,"Polygonia satyrus",2007,7,49.360264,-114.619836
"7497",7147,253,"Polygonia satyrus",2012,6,47.551902,-68.338341
"8006",7687,253,"Polygonia satyrus",2012,6,47.545833,-68.345937
"8007",7688,253,"Polygonia satyrus",2012,6,47.545833,-68.345937
"8145",7822,253,"Polygonia satyrus",2012,3,49.917431,-97.122623
"9135",8815,253,"Polygonia satyrus",2012,6,46.702148,-65.783891
"9700",9364,253,"Polygonia satyrus",2012,6,49.946567,-114.965562
