"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"27807",26415,139,"Lycaena rubidus",2012,7,49.136013,-114.030275
"28270",26922,139,"Lycaena rubidus",2009,7,50.280235,-111.413555
"29604",66095,139,"Lycaena rubidus",2005,7,39.246974,-119.846142
"29610",28249,139,"Lycaena rubidus",2005,7,39.246974,-119.846142
"30343",66243,139,"Lycaena rubidus",2004,6,39.14637,-119.819827
"30353",28964,139,"Lycaena rubidus",2004,6,39.14637,-119.819827
"34598",33186,139,"Lycaena rubidus",2012,6,38.03136,-119.219513
"34606",33194,139,"Lycaena rubidus",2012,6,38.03136,-119.219513
"36333",34802,139,"Lycaena rubidus",2012,7,39.679184,-105.91713
"44664",42659,139,"Lycaena rubidus",2013,6,38.023078,-119.133296
"44688",42682,139,"Lycaena rubidus",2013,6,38.023078,-119.133296
"54231",51707,139,"Lycaena rubidus",2012,7,40.634636,-115.370543
"66166",65713,139,"Lycaena rubidus",2009,7,50.280235,-111.413555
"70188",71445,139,"Lycaena rubidus",2012,7,40.634636,-115.370543
