"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"2378",2012,91,"Papilio troilus",2002,7,42.09988,-82.492049
"2384",2018,91,"Papilio troilus",2002,7,42.09988,-82.492049
"2386",2020,91,"Papilio troilus",2002,7,42.09988,-82.492049
"2406",2042,91,"Papilio troilus",2002,8,42.09988,-82.492049
"2416",2051,91,"Papilio troilus",2002,8,42.09988,-82.492049
"2436",2076,91,"Papilio troilus",2002,8,42.09988,-82.492049
"2587",2223,91,"Papilio troilus",2002,8,42.09988,-82.492049
"2607",2243,91,"Papilio troilus",2002,9,42.09988,-82.492049
"2634",2268,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2640",2274,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2648",2283,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2655",2287,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2677",2313,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2683",2319,91,"Papilio troilus",2003,6,42.09988,-82.492049
"2742",2376,91,"Papilio troilus",2003,7,42.09988,-82.492049
"2892",2524,91,"Papilio troilus",2003,9,42.09988,-82.492049
"2901",2534,91,"Papilio troilus",2003,9,42.09988,-82.492049
"3214",2826,91,"Papilio troilus",2004,8,42.09988,-82.492049
"3219",2832,91,"Papilio troilus",2004,8,42.09988,-82.492049
"3231",2843,91,"Papilio troilus",2004,8,42.09988,-82.492049
"3249",2862,91,"Papilio troilus",2004,8,42.09988,-82.492049
"3255",2867,91,"Papilio troilus",2004,8,42.09988,-82.492049
"3309",2921,91,"Papilio troilus",2004,9,42.087959,-82.448897
"3389",3003,91,"Papilio troilus",2005,6,42.09988,-82.492049
"3420",3035,91,"Papilio troilus",2005,8,42.09988,-82.492049
"3443",3055,91,"Papilio troilus",2005,8,42.09988,-82.492049
"3446",3059,91,"Papilio troilus",2005,8,42.09988,-82.492049
"3607",3218,91,"Papilio troilus",2006,9,42.09988,-82.492049
"3610",3223,91,"Papilio troilus",2006,9,42.09988,-82.492049
"3665",3278,91,"Papilio troilus",2007,8,42.09988,-82.492049
"3812",3424,91,"Papilio troilus",2008,8,42.09988,-82.492049
"4250",3903,91,"Papilio troilus",2003,9,42.09988,-82.492049
"5219",4888,91,"Papilio troilus",2012,5,41.961729,-82.520875
"5311",4984,91,"Papilio troilus",2012,5,42.633143,-81.82762
"5325",4996,91,"Papilio troilus",2012,5,42.647412,-81.828221
