"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"44985",42988,474,"Phocides polybius",1975,10,26.285412,-98.141212
"82980",84562,474,"Phocides polybius",2014,6,26.179819,-98.366518
"89389",112351,474,"Phocides polybius",2014,10,26.147524,-97.988708
"90193",113569,474,"Phocides polybius",2014,10,26.149224,-97.994993
"90256",113612,474,"Phocides polybius",2014,10,26.179819,-98.366518
"91118",114953,474,"Phocides polybius",2014,10,26.06513,-98.150243
"93150",121349,474,"Phocides polybius",2015,3,26.06513,-98.150243
"93370",121979,474,"Phocides polybius",2015,4,26.179819,-98.366518
"94123",125700,474,"Phocides polybius",2015,4,26.179819,-98.366518
"96857",132366,474,"Phocides polybius",2015,5,26.179819,-98.366518
"99486",138884,474,"Phocides polybius",2015,6,26.149224,-97.994993
"100461",141463,474,"Phocides polybius",2015,6,26.179819,-98.366518
"101127",143029,474,"Phocides polybius",2015,6,26.149224,-97.994993
"106306",166942,474,"Phocides polybius",2014,11,26.097291,-98.261868
