"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"80876",82509,810,"Aphrissa statira",2013,8,26.584469,-99.149238
"86758",109580,810,"Aphrissa statira",1982,4,25.325293,-80.831394
