"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"33599",32168,449,"Megathymus yuccae",2013,3,33.17664,-108.28537
"50022",47717,449,"Megathymus yuccae",1972,8,27.139202,-80.168266
"82456",84104,449,"Megathymus yuccae",2012,3,33.118971,-83.75247
"83700",85367,449,"Megathymus yuccae",2011,4,33.118971,-83.75247
