"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"29239",27904,614,"Plebejus acmon",2005,4,31.675005,-110.887856
"29381",28026,614,"Plebejus acmon",2005,5,37.524499,-118.635192
"29581",28233,614,"Plebejus acmon",2005,8,39.953899,-120.973127
"29615",66101,614,"Plebejus acmon",2005,8,39.744748,-120.589181
"29621",28255,614,"Plebejus acmon",2005,8,39.744748,-120.589181
"33266",31873,614,"Plebejus acmon",2001,6,31.429212,-110.303893
"34546",33134,614,"Plebejus acmon",2012,9,34.498387,-112.530813
"34562",33150,614,"Plebejus acmon",2012,9,34.620177,-112.557464
"34933",33498,614,"Plebejus acmon",2013,4,34.457031,-112.537551
"35101",33632,614,"Plebejus acmon",1998,6,34.427383,-111.144502
"35105",33636,614,"Plebejus acmon",1998,6,34.427383,-111.144502
"35115",33647,614,"Plebejus acmon",1998,7,34.427383,-111.144502
"40385",38660,614,"Plebejus acmon",2012,8,33.077392,-117.11481
"44658",42654,614,"Plebejus acmon",2013,6,37.957801,-119.11701
"44715",42711,614,"Plebejus acmon",2013,7,34.54255,-112.580767
"49632",47409,614,"Plebejus acmon",2013,7,37.363992,-122.175777
"58327",55673,614,"Plebejus acmon",2013,10,34.546721,-112.534504
"62230",59561,614,"Plebejus acmon",2013,10,37.890773,-122.581115
"66379",65951,614,"Plebejus acmon",2005,4,31.675005,-110.887856
"66485",66059,614,"Plebejus acmon",2005,5,37.524499,-118.635192
"66496",66079,614,"Plebejus acmon",2005,8,39.953899,-120.973127
"72995",74696,614,"Plebejus acmon",2004,6,41.876961,-122.211931
"73015",74716,614,"Plebejus acmon",2004,6,41.876961,-122.211931
"73106",74807,614,"Plebejus acmon",2004,6,35.668812,-118.530906
"73133",74834,614,"Plebejus acmon",2004,6,35.668812,-118.530906
"73684",75415,614,"Plebejus acmon",2014,5,34.546721,-112.534504
"75025",78669,614,"Plebejus acmon",2014,5,34.546863,-112.529204
"77977",79741,614,"Plebejus acmon",2014,6,34.457031,-112.537551
"82692",84310,614,"Plebejus acmon",1996,7,34.358612,-117.764504
"82712",84349,614,"Plebejus acmon",1996,7,34.152229,-117.836171
"82737",84624,614,"Plebejus acmon",1996,4,33.773193,-117.580348
"82742",84363,614,"Plebejus acmon",1996,4,33.773193,-117.580348
"82750",84379,614,"Plebejus acmon",1996,5,33.632171,-117.555709
"82764",84386,614,"Plebejus acmon",1997,3,33.100492,-116.301327
"82769",84397,614,"Plebejus acmon",1996,5,33.571794,-117.592538
"83112",84758,614,"Plebejus acmon",2013,5,33.574896,-117.599475
"83267",84932,614,"Plebejus acmon",2013,5,34.317579,-118.089294
"86050",114724,614,"Plebejus acmon",1989,3,32.24359,-111.168208
"91129",115013,614,"Plebejus acmon",2014,11,38.300455,-122.289899
"91574",115999,614,"Plebejus acmon",2014,8,43.83366,-122.770543
"91597",116015,614,"Plebejus acmon",2014,8,43.83366,-122.770543
"91601",116027,614,"Plebejus acmon",2014,9,43.83366,-122.770543
"91605",116031,614,"Plebejus acmon",2014,10,43.83366,-122.770543
"91642",116101,614,"Plebejus acmon",2013,8,43.83366,-122.770543
"91655",116109,614,"Plebejus acmon",2013,10,43.83366,-122.770543
"91686",116139,614,"Plebejus acmon",2014,8,43.99669,-123.12261
"91689",116149,614,"Plebejus acmon",2014,9,43.99669,-123.12261
"91696",116154,614,"Plebejus acmon",2014,9,43.99669,-123.12261
"91702",116161,614,"Plebejus acmon",2014,10,43.99669,-123.12261
"95770",129904,614,"Plebejus acmon",2015,5,43.83366,-122.770543
"101175",143212,614,"Plebejus acmon",2015,6,40.430803,-105.500572
"112196",190537,614,"Plebejus acmon",2016,6,40.430803,-105.500572
