"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"36796",35313,428,"Heliopetes ericetorum",2013,5,35.050235,-112.160969
"44611",42595,428,"Heliopetes ericetorum",2013,5,35.776147,-115.865121
"44639",42630,428,"Heliopetes ericetorum",2013,5,35.776147,-115.865121
"73443",75156,428,"Heliopetes ericetorum",2014,5,34.457031,-112.537551
"76166",77970,428,"Heliopetes ericetorum",2014,6,35.776147,-115.865121
"86432",109240,428,"Heliopetes ericetorum",1993,5,35.385747,-117.984238
