"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"36436",34907,420,"Euphyes arpa",2009,9,28.321251,-81.414814
"74278",76016,420,"Euphyes arpa",2012,11,26.633022,-81.693899
"86749",109569,420,"Euphyes arpa",1982,4,25.325293,-80.831394
