"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"33759",32315,560,"Calycopis isobeon",2012,6,26.185562,-98.380278
"33760",67190,560,"Calycopis isobeon",2012,6,26.185562,-98.380278
"34149",32715,560,"Calycopis isobeon",2002,11,26.080978,-98.136004
"67489",67192,560,"Calycopis isobeon",2012,6,26.185562,-98.380278
"67490",67191,560,"Calycopis isobeon",2012,6,26.185562,-98.380278
"78095",79892,560,"Calycopis isobeon",2014,6,26.179819,-98.366518
"78236",80017,560,"Calycopis isobeon",2014,6,26.189839,-98.37794
"78286",80050,560,"Calycopis isobeon",2014,6,26.179819,-98.366518
"78592",80374,560,"Calycopis isobeon",2012,12,26.179819,-98.366518
"78594",80369,560,"Calycopis isobeon",2012,12,26.179819,-98.366518
"79473",81154,560,"Calycopis isobeon",2014,6,26.179819,-98.366518
"80825",82461,560,"Calycopis isobeon",2014,6,26.06513,-98.150243
"82972",84580,560,"Calycopis isobeon",2014,6,26.179819,-98.366518
"90246",113624,560,"Calycopis isobeon",2014,10,26.179819,-98.366518
"91377",115387,560,"Calycopis isobeon",2014,11,26.266325,-98.53406
"91480",115861,560,"Calycopis isobeon",2014,11,26.179819,-98.366518
"92684",119406,560,"Calycopis isobeon",2015,2,26.149224,-97.994993
"92752",119927,560,"Calycopis isobeon",2015,2,26.179819,-98.366518
"92776",120071,560,"Calycopis isobeon",2015,3,26.06513,-98.150243
"92835",120360,560,"Calycopis isobeon",2015,3,26.179819,-98.366518
"92873",120448,560,"Calycopis isobeon",2015,3,26.125292,-97.953157
"92948",120652,560,"Calycopis isobeon",2015,3,26.147524,-97.988708
"92985",120820,560,"Calycopis isobeon",2015,3,26.179819,-98.366518
"92996",120845,560,"Calycopis isobeon",2015,3,26.147524,-97.988708
"93151",121355,560,"Calycopis isobeon",2015,3,26.06513,-98.150243
"93354",121987,560,"Calycopis isobeon",2015,4,26.179819,-98.366518
"93775",123836,560,"Calycopis isobeon",2015,4,26.147524,-97.988708
"94873",127892,560,"Calycopis isobeon",2015,5,26.266325,-98.53406
"95072",128504,560,"Calycopis isobeon",2015,5,26.179819,-98.366518
"95880",130129,560,"Calycopis isobeon",2015,5,26.179819,-98.366518
"96180",130889,560,"Calycopis isobeon",2015,5,26.179819,-98.366518
"96871",132371,560,"Calycopis isobeon",2015,5,26.179819,-98.366518
"97428",133870,560,"Calycopis isobeon",2015,6,26.179819,-98.366518
"98471",136404,560,"Calycopis isobeon",2015,6,26.179819,-98.366518
"98785",137839,560,"Calycopis isobeon",2015,6,26.179819,-98.366518
"100477",141468,560,"Calycopis isobeon",2015,6,26.179819,-98.366518
"101138",143032,560,"Calycopis isobeon",2015,6,26.149224,-97.994993
"101221",143527,560,"Calycopis isobeon",2015,6,26.179819,-98.366518
"107645",171583,560,"Calycopis isobeon",2015,10,26.125292,-97.953157
"108047",173914,560,"Calycopis isobeon",2015,12,26.179819,-98.366518
"108088",173937,560,"Calycopis isobeon",2015,12,26.179819,-98.366518
"108111",173951,560,"Calycopis isobeon",2015,12,26.06513,-98.150243
"108352",175011,560,"Calycopis isobeon",2016,1,26.125292,-97.953157
"108473",175377,560,"Calycopis isobeon",2016,1,26.125292,-97.953157
"108585",175800,560,"Calycopis isobeon",2016,2,26.06513,-98.150243
"108824",177812,560,"Calycopis isobeon",2016,4,26.179819,-98.366518
"108900",178114,560,"Calycopis isobeon",2016,4,26.125292,-97.953157
"109118",178889,560,"Calycopis isobeon",2016,4,26.125292,-97.953157
"109719",180928,560,"Calycopis isobeon",2016,2,26.179819,-98.366518
"109720",180946,560,"Calycopis isobeon",2016,1,26.179819,-98.366518
"109740",181008,560,"Calycopis isobeon",2016,1,26.179819,-98.366518
"109765",181032,560,"Calycopis isobeon",2016,1,26.179819,-98.366518
"109864",181409,560,"Calycopis isobeon",2016,5,26.125292,-97.953157
