"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"29778",28401,73,"Panoquina ocola",2012,10,38.638813,-77.249422
"29804",28425,73,"Panoquina ocola",2012,10,38.638813,-77.249422
"29827",28441,73,"Panoquina ocola",2012,10,38.638813,-77.249422
"30088",28710,73,"Panoquina ocola",2012,9,38.668691,-77.198439
"30124",28740,73,"Panoquina ocola",2012,9,38.850002,-78.3078
"33538",32100,73,"Panoquina ocola",2004,8,39.36516,-76.953735
"34185",32679,73,"Panoquina ocola",2002,11,26.080978,-98.136004
"36455",34930,73,"Panoquina ocola",2009,9,28.321251,-81.414814
"36482",34950,73,"Panoquina ocola",2009,9,27.892191,-81.523705
"39162",47716,73,"Panoquina ocola",1977,9,28.464074,-81.318998
"39823",38095,73,"Panoquina ocola",2013,6,33.320036,-82.006647
"40265",38540,73,"Panoquina ocola",2011,8,33.320036,-82.006647
"56785",54146,73,"Panoquina ocola",2013,9,34.261198,-77.866491
"59353",56708,73,"Panoquina ocola",2013,10,35.066289,-80.738139
"81964",83604,73,"Panoquina ocola",2013,11,32.000215,-80.845666
"81974",83614,73,"Panoquina ocola",2013,11,32.212736,-81.108574
"81994",83623,73,"Panoquina ocola",2013,10,32.204667,-81.163559
"82005",83640,73,"Panoquina ocola",2013,10,32.004839,-81.091247
"82022",83655,73,"Panoquina ocola",2013,9,31.956168,-81.024556
"82135",83771,73,"Panoquina ocola",2012,9,32.829802,-83.603804
"82188",83826,73,"Panoquina ocola",2012,7,33.118971,-83.75247
"82192",84058,73,"Panoquina ocola",2012,7,33.118971,-83.75247
"83372",85033,73,"Panoquina ocola",2013,10,26.179819,-98.366518
"84188",85853,73,"Panoquina ocola",2014,6,28.481359,-81.877575
"84470",86195,73,"Panoquina ocola",2012,7,33.118971,-83.75247
"86149",108947,73,"Panoquina ocola",2014,9,39.179046,-76.801558
"86194",108997,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"86457",109267,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"86973",109888,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"87354",110282,73,"Panoquina ocola",2014,9,33.478535,-83.983302
"87448",110389,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"87652",110590,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"87775",110709,73,"Panoquina ocola",2014,9,33.63363,-84.148836
"88047",110980,73,"Panoquina ocola",2014,9,38.457706,-77.156328
"88062",111002,73,"Panoquina ocola",2014,9,38.802628,-76.691158
"88455",111402,73,"Panoquina ocola",2012,9,38.482889,-75.885744
"88549",111467,73,"Panoquina ocola",2014,9,33.387546,-81.956209
"88812",111750,73,"Panoquina ocola",2014,9,33.458588,-81.74358
"89047",112003,73,"Panoquina ocola",2014,9,36.902548,-76.200442
"89117",112066,73,"Panoquina ocola",2014,9,32.837351,-83.634539
"89298",112259,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"89654",112612,73,"Panoquina ocola",2014,10,39.18994,-76.829013
"89847",112822,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"90187",113529,73,"Panoquina ocola",2003,4,28.073381,-82.831142
"90322",113702,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"90444",113824,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"90483",113865,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"90499",113905,73,"Panoquina ocola",2014,10,34.261198,-77.866491
"90677",114117,73,"Panoquina ocola",2014,10,26.149224,-97.994993
"90804",114380,73,"Panoquina ocola",2014,10,26.149224,-97.994993
"90950",114658,73,"Panoquina ocola",2014,10,39.18994,-76.829013
"90965",114714,73,"Panoquina ocola",2014,10,39.229062,-77.928364
"91015",114809,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"91017",114799,73,"Panoquina ocola",2014,10,33.458588,-81.74358
"91357",115366,73,"Panoquina ocola",2014,11,33.458588,-81.74358
"91366",115357,73,"Panoquina ocola",2014,11,33.458588,-81.74358
"101122",143016,73,"Panoquina ocola",2015,6,26.06513,-98.150243
"103568",159369,73,"Panoquina ocola",2015,8,39.077909,-76.771216
"104368",162018,73,"Panoquina ocola",2015,8,39.229062,-77.928364
"104573",162729,73,"Panoquina ocola",2015,8,39.048099,-76.716478
"104910",163787,73,"Panoquina ocola",2015,8,38.967884,-76.808896
