"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"28074",26729,269,"Limenitis weidemeyerii",2009,6,37.285595,-112.94898
"30204",28829,269,"Limenitis weidemeyerii",2012,6,35.269834,-106.408639
"31280",29892,269,"Limenitis weidemeyerii",2011,6,35.194117,-106.401161
"32021",30634,269,"Limenitis weidemeyerii",1988,7,38.695547,-105.176489
"35114",33646,269,"Limenitis weidemeyerii",1998,7,34.427383,-111.144502
"36287",34758,269,"Limenitis weidemeyerii",2012,7,39.425586,-105.068779
"36330",34801,269,"Limenitis weidemeyerii",2012,7,39.830752,-105.410213
"43458",41518,269,"Limenitis weidemeyerii",2013,6,38.185847,-106.279163
"43778",41814,269,"Limenitis weidemeyerii",2013,7,40.213686,-105.549774
"43886",41922,269,"Limenitis weidemeyerii",2013,7,40.430803,-105.500572
"44895",42878,269,"Limenitis weidemeyerii",2013,7,40.132822,-105.540419
"53504",51030,269,"Limenitis weidemeyerii",2013,8,43.538967,-80.061171
"66552",66429,269,"Limenitis weidemeyerii",1988,7,38.695547,-105.176489
"76511",93653,269,"Limenitis weidemeyerii",2014,6,36.492084,-112.02673
"82824",84461,269,"Limenitis weidemeyerii",1996,7,45.275622,-111.324082
"86930",109748,269,"Limenitis weidemeyerii",2012,7,36.45523,-112.246821
"108725",177624,269,"Limenitis weidemeyerii",2016,4,32.829446,-117.049986
