"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"28061",26716,722,"Hermeuptychia sosybius",2010,4,29.548512,-82.291256
"28104",26761,722,"Hermeuptychia sosybius",2012,4,35.563889,-83.309444
"28138",26794,722,"Hermeuptychia sosybius",2012,4,35.435369,-82.227619
"29460",28106,722,"Hermeuptychia sosybius",2013,1,25.853421,-97.417037
"29707",28346,722,"Hermeuptychia sosybius",2012,8,35.6925,-82.695
"30803",29436,722,"Hermeuptychia sosybius",2012,8,39.688695,-81.332216
"31375",29988,722,"Hermeuptychia sosybius",2011,11,30.502847,-84.161543
"31506",30131,722,"Hermeuptychia sosybius",2012,5,38.813262,-83.527937
"31524",30143,722,"Hermeuptychia sosybius",2012,5,38.695023,-83.20075
"31546",30174,722,"Hermeuptychia sosybius",2012,5,38.663732,-82.34107
"31624",30237,722,"Hermeuptychia sosybius",2012,4,38.760944,-83.413439
"31631",30261,722,"Hermeuptychia sosybius",2012,4,38.695023,-83.20075
"31661",30282,722,"Hermeuptychia sosybius",2012,4,38.760944,-83.413439
"31689",30304,722,"Hermeuptychia sosybius",2012,4,38.695023,-83.20075
"33960",32500,722,"Hermeuptychia sosybius",2011,6,34.006139,-83.377218
"33970",32510,722,"Hermeuptychia sosybius",2011,6,33.901036,-83.382958
"34131",32738,722,"Hermeuptychia sosybius",2002,11,26.080978,-98.136004
"36349",34821,722,"Hermeuptychia sosybius",2004,8,35.482619,-79.126368
"36471",34947,722,"Hermeuptychia sosybius",2009,9,28.321251,-81.414814
"37910",36332,722,"Hermeuptychia sosybius",2013,5,38.015573,-78.375092
"38140",36488,722,"Hermeuptychia sosybius",2013,5,38.015573,-78.375092
"39628",37879,722,"Hermeuptychia sosybius",2013,6,30.784015,-81.695068
"40233",38508,722,"Hermeuptychia sosybius",2011,4,33.320036,-82.006647
"40236",38511,722,"Hermeuptychia sosybius",2009,6,33.320036,-82.006647
"40542",44153,722,"Hermeuptychia sosybius",1977,9,26.285412,-98.141212
"43212",41280,722,"Hermeuptychia sosybius",2008,11,27.933754,-81.362343
"44480",42469,722,"Hermeuptychia sosybius",2013,7,30.784015,-81.695068
"46427",44320,722,"Hermeuptychia sosybius",2013,7,29.573308,-82.638221
"46614",44500,722,"Hermeuptychia sosybius",2013,7,29.573308,-82.638221
"48010",45776,722,"Hermeuptychia sosybius",2013,7,33.320036,-82.006647
"50527",48217,722,"Hermeuptychia sosybius",2013,7,34.834871,-80.691919
"55993",53355,722,"Hermeuptychia sosybius",2013,8,30.784015,-81.695068
"56637",54007,722,"Hermeuptychia sosybius",2013,7,30.784015,-81.695068
"57652",55008,722,"Hermeuptychia sosybius",2013,9,30.784015,-81.695068
"57939",55288,722,"Hermeuptychia sosybius",2013,9,30.784015,-81.695068
"58011",55364,722,"Hermeuptychia sosybius",2013,9,35.063023,-80.743375
"58437",55794,722,"Hermeuptychia sosybius",2013,10,35.726935,-82.694693
"59323",56681,722,"Hermeuptychia sosybius",2013,9,35.062882,-80.744705
"59354",56710,722,"Hermeuptychia sosybius",2013,10,35.066289,-80.738139
"59384",56739,722,"Hermeuptychia sosybius",2013,10,30.784015,-81.695068
