"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"30235",28859,542,"Zestusa dorus",2011,4,35.092998,-106.392052
"31204",29815,542,"Zestusa dorus",2011,4,35.092998,-106.392052
"34920",33484,542,"Zestusa dorus",2013,4,34.457031,-112.537551
"86069",108874,542,"Zestusa dorus",1989,3,31.725833,-110.880278
