"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"5",4944,252,"Polygonia comma",2012,5,44.537061,-76.404135
"48",62238,252,"Polygonia comma",2012,7,45.256708,-76.064862
"58",75381,252,"Polygonia comma",2014,5,42.804413,-73.191004
"80",122855,252,"Polygonia comma",2015,4,43.358806,-80.35264
"240",59702,252,"Polygonia comma",2011,5,44.501552,-76.4395683
"241",59738,252,"Polygonia comma",2011,5,44.501552,-76.4395683
"273",59720,252,"Polygonia comma",2011,5,44.501552,-76.4395683
"300",147,252,"Polygonia comma",2011,5,44.501552,-76.4395683
"408",59842,252,"Polygonia comma",2009,8,42.6277618,-80.7345029
"422",230,252,"Polygonia comma",2009,8,42.6277618,-80.7345029
"893",573,252,"Polygonia comma",2011,8,45.6342314,-74.2930598
"906",60257,252,"Polygonia comma",2011,8,45.6342314,-74.2930598
"1031",744,252,"Polygonia comma",2011,10,43.992549,-77.6956079
"1040",751,252,"Polygonia comma",2011,10,44.0424855,-79.3084977
"1156",820,252,"Polygonia comma",2010,7,45.0317195,-73.0710125
"1206",902,252,"Polygonia comma",2010,8,45.2501172,-73.805294
"1444",1061,252,"Polygonia comma",2003,7,45.532045,-76.007063
"1455",1076,252,"Polygonia comma",2012,3,43.66,-79.38
"1460",1087,252,"Polygonia comma",2012,3,45.385693,-75.706698
"1462",1089,252,"Polygonia comma",2012,3,45.45328,-75.65697
"1464",1091,252,"Polygonia comma",2012,3,45.21359,-75.08131
"1477",1108,252,"Polygonia comma",2011,4,45.3463,-75.8548
"1490",1121,252,"Polygonia comma",2011,5,45.389641,-75.218541
"1562",1193,252,"Polygonia comma",2012,3,45.3459,-75.8528
"1564",1202,252,"Polygonia comma",2012,3,45.389643,-75.706698
"1567",1205,252,"Polygonia comma",2012,3,45.197908,-76.238787
"1578",1216,252,"Polygonia comma",2012,3,45.273468,-75.792361
"1580",60600,252,"Polygonia comma",2012,3,45.273468,-75.792361
"1585",1221,252,"Polygonia comma",2012,3,45.376545,-75.221891
"1590",1226,252,"Polygonia comma",2012,3,45.385693,-75.706698
"1591",1227,252,"Polygonia comma",2012,3,45.302052,-75.805527
"1593",1229,252,"Polygonia comma",2012,3,45.07238,-75.819878
"1602",1238,252,"Polygonia comma",2012,3,45.07238,-75.819878
"1620",1256,252,"Polygonia comma",2007,4,45.389644,-75.218541
"1623",1259,252,"Polygonia comma",2007,5,45.389644,-75.218541
"1764",1401,252,"Polygonia comma",2007,6,45.389644,-75.218541
"1870",1507,252,"Polygonia comma",2007,7,45.384693,-75.706698
"1885",1523,252,"Polygonia comma",2007,7,45.389644,-75.218541
"1899",1536,252,"Polygonia comma",2007,7,45.384693,-75.706698
"2033",1670,252,"Polygonia comma",2009,4,45.3459,-75.8528
"2038",1675,252,"Polygonia comma",2009,4,45.3459,-75.8528
"2040",1677,252,"Polygonia comma",2009,4,45.384693,-75.706698
"2044",1681,252,"Polygonia comma",2009,4,45.3459,-75.8528
"2060",1697,252,"Polygonia comma",2009,5,45.389644,-75.218541
"2128",1758,252,"Polygonia comma",2012,3,45.385917,-75.682302
"2282",1909,252,"Polygonia comma",2012,3,45.294712,-75.817197
"2283",1910,252,"Polygonia comma",2012,3,45.395381,-75.513286
"2284",1911,252,"Polygonia comma",2012,3,45.385693,-75.706698
"2285",1912,252,"Polygonia comma",2012,3,45.073653,-75.817679
"2294",1928,252,"Polygonia comma",2012,4,44.422694,-76.1057
"2297",1931,252,"Polygonia comma",2012,4,43.550124,-79.655275
"2360",1994,252,"Polygonia comma",2012,4,45.41195,-75.665378
"2380",2014,252,"Polygonia comma",2002,7,42.09988,-82.492049
"2396",2031,252,"Polygonia comma",2012,4,45.315501,-75.817989
"2403",2032,252,"Polygonia comma",2012,3,45.364824,-75.880752
"2404",2033,252,"Polygonia comma",2012,3,45.369008,-75.79863
"2423",2057,252,"Polygonia comma",2012,4,45.519068,-75.912373
"2464",2103,252,"Polygonia comma",2012,4,45.369008,-75.79863
"2465",60653,252,"Polygonia comma",2012,4,45.369008,-75.79863
"2482",2121,252,"Polygonia comma",2012,4,42.034706,-82.742485
"2513",2148,252,"Polygonia comma",2012,4,43.538639,-80.216489
"2533",2168,252,"Polygonia comma",2012,4,45.304696,-75.857668
"2554",2190,252,"Polygonia comma",2012,4,45.352716,-75.585245
"2557",2193,252,"Polygonia comma",2012,4,44.053515,-79.467181
"2559",2195,252,"Polygonia comma",2012,4,43.5802,-79.7385
"2573",2210,252,"Polygonia comma",2012,3,42.09988,-82.492049
"2575",2212,252,"Polygonia comma",2012,4,42.09988,-82.492049
"2612",2248,252,"Polygonia comma",2002,9,42.09988,-82.492049
"2616",2251,252,"Polygonia comma",2003,4,42.09988,-82.492049
"2825",2455,252,"Polygonia comma",2012,3,44.537061,-76.404135
"2826",2456,252,"Polygonia comma",2012,3,44.56719,-76.324072
"2827",2457,252,"Polygonia comma",2012,3,44.547385,-76.36565
"2829",2459,252,"Polygonia comma",2012,3,44.56719,-76.324072
"2836",2464,252,"Polygonia comma",2012,3,44.348445,-75.984088
"2838",2468,252,"Polygonia comma",2012,3,44.464654,-76.433751
"2855",2484,252,"Polygonia comma",2012,4,45.384693,-75.706698
"2991",2614,252,"Polygonia comma",2004,6,42.301481,-82.621537
"3002",2624,252,"Polygonia comma",2012,4,44.56719,-76.324072
"3106",2732,252,"Polygonia comma",2012,4,45.111562,-74.972445
"3124",60737,252,"Polygonia comma",2012,4,45.111562,-74.972445
"3260",2872,252,"Polygonia comma",2004,8,42.09988,-82.492049
"3335",2948,252,"Polygonia comma",2012,4,43.696766,-79.382962
"3340",2953,252,"Polygonia comma",2004,10,42.09988,-82.492049
"3371",2984,252,"Polygonia comma",2005,4,42.09988,-82.492049
"3569",3180,252,"Polygonia comma",2006,8,41.954803,-82.522007
"3616",3229,252,"Polygonia comma",2006,11,42.09988,-82.492049
"3682",3295,252,"Polygonia comma",2007,9,42.09988,-82.492049
"3741",3354,252,"Polygonia comma",2012,4,43.676495,-79.322877
"3891",3515,252,"Polygonia comma",2012,4,43.5802,-79.7385
"3904",3529,252,"Polygonia comma",2012,4,45.383619,-75.946284
"3922",3547,252,"Polygonia comma",2012,4,43.399611,-80.484165
"3924",3550,252,"Polygonia comma",2012,4,43.648097,-79.464884
"3989",3638,252,"Polygonia comma",2012,5,45.67,-73.68
"4044",3681,252,"Polygonia comma",2009,7,45.4,-73.37
"4062",3699,252,"Polygonia comma",2012,5,43.171147,-81.919524
"4081",3732,252,"Polygonia comma",2012,5,43.5867,-79.755
"4151",3804,252,"Polygonia comma",2012,5,43.6129,-79.38401
"4161",3814,252,"Polygonia comma",2012,5,42.828682,-79.883655
"4206",3863,252,"Polygonia comma",2012,5,44.464654,-76.433751
"4230",3892,252,"Polygonia comma",2012,5,43.61657,-79.38219
"4237",60891,252,"Polygonia comma",2012,5,43.61657,-79.38219
"4246",3899,252,"Polygonia comma",2012,5,43.677515,-79.307841
"4350",4005,252,"Polygonia comma",2012,5,45.49491,-76.082763
"4517",4186,252,"Polygonia comma",2007,5,45.4,-73.37
"4567",4237,252,"Polygonia comma",2010,10,42.09988,-82.492049
"4611",4271,252,"Polygonia comma",2012,5,44.772625,-76.134987
"4664",4324,252,"Polygonia comma",2012,5,44.006928,-77.124043
"4746",4407,252,"Polygonia comma",2011,10,42.09988,-82.492049
"4801",4462,252,"Polygonia comma",2012,4,42.09988,-82.492049
"4857",4518,252,"Polygonia comma",1989,7,49.62625,-96.663989
"5036",4702,252,"Polygonia comma",2012,5,42.580554,-80.382887
"5064",4732,252,"Polygonia comma",2012,5,44.893456,-76.109272
"5109",4777,252,"Polygonia comma",2012,5,45.519068,-75.912373
"5134",4803,252,"Polygonia comma",2012,5,44.89827,-76.102901
"5497",5168,252,"Polygonia comma",2012,5,45.2515,-76.1489
"5518",16439,252,"Polygonia comma",2012,5,45.2661,-76.1397
"5718",5350,252,"Polygonia comma",2012,5,43.171147,-81.919524
"5769",5399,252,"Polygonia comma",2012,5,45.3862,-75.1708
"6129",5765,252,"Polygonia comma",2012,5,44.57875,-76.3294
"6256",5923,252,"Polygonia comma",2012,5,45.16279,-75.21513
"6263",5928,252,"Polygonia comma",2012,5,45.16568,-75.20903
"6973",6655,252,"Polygonia comma",2012,5,45.3988,-75.1825
"7014",6707,252,"Polygonia comma",2012,5,44.89097,-76.114387
"7137",6838,252,"Polygonia comma",2012,4,43.512177,-80.232479
"7183",6884,252,"Polygonia comma",2012,5,45.08259,-75.30983
"7308",6998,252,"Polygonia comma",2012,5,45.519068,-75.912373
"7475",7125,252,"Polygonia comma",2012,5,44.890686,-76.112298
"7500",7150,252,"Polygonia comma",2012,6,47.490099,-68.347868
"7931",7607,252,"Polygonia comma",2012,5,51.202747,-95.309991
"7999",7681,252,"Polygonia comma",2012,6,45.542251,-78.695058
"8099",7782,252,"Polygonia comma",2012,6,45.320263,-78.023004
"8392",8071,252,"Polygonia comma",2012,6,45.084738,-75.482759
"8489",8169,252,"Polygonia comma",2012,6,42.09988,-82.492049
"8652",8510,252,"Polygonia comma",2012,6,45.40648,-75.95625
"8907",8581,252,"Polygonia comma",2012,6,45.508385,-75.912943
"9078",8758,252,"Polygonia comma",2012,6,44.133871,-78.009957
"9646",9310,252,"Polygonia comma",2012,6,42.629312,-81.831869
"9665",9328,252,"Polygonia comma",2012,6,43.550124,-79.655275
"9951",9569,252,"Polygonia comma",2012,6,44.643051,-76.335242
"9970",9586,252,"Polygonia comma",2012,6,44.523782,-76.392558
"10054",9672,252,"Polygonia comma",2012,6,45.363262,-75.87979
"10233",9809,252,"Polygonia comma",2012,6,41.952602,-82.525531
"10303",9879,252,"Polygonia comma",2012,6,42.078307,-82.492358
"10389",9963,252,"Polygonia comma",2012,6,42.732849,-80.330004
"10662",10244,252,"Polygonia comma",2012,6,44.356499,-77.107538
"11057",10604,252,"Polygonia comma",2012,6,44.891092,-76.103486
"11070",10617,252,"Polygonia comma",2012,6,45.500306,-76.351623
"11128",10675,252,"Polygonia comma",2012,6,44.884524,-76.104859
"11806",11357,252,"Polygonia comma",2012,7,42.647412,-81.828221
"11828",61845,252,"Polygonia comma",2012,7,42.647412,-81.828221
"11849",61861,252,"Polygonia comma",2012,7,42.64615,-81.707801
"11859",11373,252,"Polygonia comma",2012,7,42.64615,-81.707801
"12616",12038,252,"Polygonia comma",2012,7,45.256708,-76.064862
"12651",12074,252,"Polygonia comma",2012,7,43.677515,-79.307841
"12973",12391,252,"Polygonia comma",2012,7,44.241853,-79.043015
"13471",12855,252,"Polygonia comma",2012,7,45.388751,-73.766917
"13695",13100,252,"Polygonia comma",2012,7,44.814698,-78.649653
"13824",13220,252,"Polygonia comma",2012,7,43.4583,80.5756
"13842",13239,252,"Polygonia comma",2012,7,43.4583,80.5756
"13961",13372,252,"Polygonia comma",2012,3,43.728794,-79.217391
"13963",13381,252,"Polygonia comma",2012,3,43.736189,-80.951643
"14077",13508,252,"Polygonia comma",2012,3,43.740862,-80.951425
"14149",13546,252,"Polygonia comma",2012,7,43.745291,-80.945851
"14163",13568,252,"Polygonia comma",2012,7,42.897791,-79.326257
"14833",14068,252,"Polygonia comma",2012,7,42.711395,-80.314683
"15143",14377,252,"Polygonia comma",2012,7,44.464654,-76.433751
"15325",14560,252,"Polygonia comma",2012,7,45.519068,-75.912373
"15948",15071,252,"Polygonia comma",2012,7,44.350189,-76.89948
"15969",15093,252,"Polygonia comma",2012,7,44.334598,-79.044732
"16596",15626,252,"Polygonia comma",2012,6,43.740862,-80.951425
"17216",16158,252,"Polygonia comma",2012,7,44.045388,-78.725256
"17513",16456,252,"Polygonia comma",2012,7,43.803406,-80.959428
"17593",16536,252,"Polygonia comma",2012,7,45.371086,-75.791363
