"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"29088",27748,129,"Eurema mexicana",2005,9,31.405517,-111.086934
"29119",27777,129,"Eurema mexicana",2005,9,31.498214,-110.849748
"29152",27813,129,"Eurema mexicana",2005,8,31.498214,-110.849748
"29172",27832,129,"Eurema mexicana",2005,4,31.675005,-110.887856
"29205",27865,129,"Eurema mexicana",2004,9,31.405517,-111.086934
"29231",27894,129,"Eurema mexicana",2005,4,31.675005,-110.887856
"29265",27927,129,"Eurema mexicana",2005,4,31.498214,-110.849748
"29338",27998,129,"Eurema mexicana",2004,11,31.779949,-109.308969
"29430",28075,129,"Eurema mexicana",2013,1,26.176314,-98.367033
"35078",33609,129,"Eurema mexicana",1998,5,32.242791,-111.166801
"42739",40836,129,"Eurema mexicana",1975,10,29.308555,-103.216896
"46450",44358,129,"Eurema mexicana",2013,7,34.457031,-112.537551
"53600",51112,129,"Eurema mexicana",2013,8,31.448216,-110.306726
"53629",51135,129,"Eurema mexicana",2013,8,31.474426,-110.347981
"58354",55703,129,"Eurema mexicana",2013,9,31.431986,-111.18848
"62292",59623,129,"Eurema mexicana",2014,2,31.456124,-111.247559
"66277",65820,129,"Eurema mexicana",2005,9,31.405517,-111.086934
"66289",65849,129,"Eurema mexicana",2005,9,31.498214,-110.849748
"66328",65885,129,"Eurema mexicana",2005,8,31.498214,-110.849748
"66346",65904,129,"Eurema mexicana",2005,4,31.675005,-110.887856
"66351",65916,129,"Eurema mexicana",2004,9,31.405517,-111.086934
"66385",65941,129,"Eurema mexicana",2005,4,31.675005,-110.887856
"66415",65971,129,"Eurema mexicana",2005,4,31.498214,-110.849748
"66471",66030,129,"Eurema mexicana",2004,11,31.779949,-109.308969
"71563",73088,129,"Eurema mexicana",2014,1,31.456765,-110.239524
"71608",73132,129,"Eurema mexicana",2014,2,32.339833,-110.980819
"71618",73142,129,"Eurema mexicana",2014,2,32.370571,-110.93874
"73154",74854,129,"Eurema mexicana",2004,6,31.766704,-110.606815
"73178",74880,129,"Eurema mexicana",2004,6,31.766704,-110.606815
"75034",76827,129,"Eurema mexicana",2014,5,34.546863,-112.529204
"79979",81730,129,"Eurema mexicana",2013,2,26.179819,-98.366518
"81688",84918,129,"Eurema mexicana",2012,5,31.488985,-110.408137
"82555",84201,129,"Eurema mexicana",2014,6,31.876647,-110.213632
"82577",84220,129,"Eurema mexicana",2014,6,31.51271,-110.390743
"86698",109525,129,"Eurema mexicana",2007,11,31.725833,-110.880278
"91041",115021,129,"Eurema mexicana",2014,10,29.4921,103.4673
"91327",115322,129,"Eurema mexicana",2014,10,33.68996,-101.238391
"92232",117659,129,"Eurema mexicana",2014,12,32.244013,-111.168174
"92277",117711,129,"Eurema mexicana",2014,12,26.149224,-97.994993
"94249",125998,129,"Eurema mexicana",2015,3,33.54211,-111.672378
"109704",180874,129,"Eurema mexicana",2016,4,31.503117,-110.833683
