"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"35",50756,86,"Papilio cresphontes",2013,8,44.69336,-73.34302
"2334",1968,86,"Papilio cresphontes",2002,7,42.09988,-82.492049
"2337",1971,86,"Papilio cresphontes",2002,7,42.09988,-82.492049
"2340",1974,86,"Papilio cresphontes",2002,7,42.09988,-82.492049
"2345",1979,86,"Papilio cresphontes",2002,7,42.09988,-82.492049
"2393",2027,86,"Papilio cresphontes",2002,8,42.09988,-82.492049
"2398",2036,86,"Papilio cresphontes",2002,8,42.09988,-82.492049
"2414",2049,86,"Papilio cresphontes",2002,8,42.09988,-82.492049
"2420",2055,86,"Papilio cresphontes",2002,8,42.09988,-82.492049
"2438",2075,86,"Papilio cresphontes",2002,8,42.09988,-82.492049
"2639",2273,86,"Papilio cresphontes",2003,6,42.09988,-82.492049
"2642",2276,86,"Papilio cresphontes",2003,6,42.09988,-82.492049
"2647",2282,86,"Papilio cresphontes",2003,6,42.09988,-82.492049
"2675",2311,86,"Papilio cresphontes",2003,6,42.09988,-82.492049
"2682",2318,86,"Papilio cresphontes",2003,6,42.09988,-82.492049
"2881",2512,86,"Papilio cresphontes",2003,8,42.09988,-82.492049
"2967",2590,86,"Papilio cresphontes",2004,6,42.09988,-82.492049
"3200",2812,86,"Papilio cresphontes",2004,8,42.09988,-82.492049
"3208",2820,86,"Papilio cresphontes",2004,8,42.09988,-82.492049
"3254",2866,86,"Papilio cresphontes",2004,8,42.09988,-82.492049
"3302",2914,86,"Papilio cresphontes",2004,9,42.09988,-82.492049
"3380",2993,86,"Papilio cresphontes",2005,6,42.09988,-82.492049
"3390",3002,86,"Papilio cresphontes",2005,6,42.09988,-82.492049
"3391",3004,86,"Papilio cresphontes",2005,6,42.09988,-82.492049
"3416",3030,86,"Papilio cresphontes",2005,7,42.09988,-82.492049
"3576",3187,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3583",3194,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3584",3195,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3591",3202,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3593",3204,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3596",3207,86,"Papilio cresphontes",2006,8,42.09988,-82.492049
"3623",3236,86,"Papilio cresphontes",2007,6,42.09988,-82.492049
"3628",3241,86,"Papilio cresphontes",2007,6,42.09988,-82.492049
"3630",3243,86,"Papilio cresphontes",2007,6,42.09988,-82.492049
"3633",3246,86,"Papilio cresphontes",2007,6,42.09988,-82.492049
"3662",3275,86,"Papilio cresphontes",2007,8,42.09988,-82.492049
"3667",3280,86,"Papilio cresphontes",2007,8,42.09988,-82.492049
"3673",3286,86,"Papilio cresphontes",2007,8,42.09988,-82.492049
"4259",3911,86,"Papilio cresphontes",2012,5,42.43074,-82.15544
"4436",4104,86,"Papilio cresphontes",2009,8,42.09988,-82.492049
"4440",4108,86,"Papilio cresphontes",2009,8,42.09988,-82.492049
"4441",4109,86,"Papilio cresphontes",2009,8,42.09988,-82.492049
"4469",4138,86,"Papilio cresphontes",2010,7,42.09988,-82.492049
"4601",4261,86,"Papilio cresphontes",2011,6,42.09988,-82.492049
"4701",4361,86,"Papilio cresphontes",2011,7,42.09988,-82.492049
"4706",4366,86,"Papilio cresphontes",2011,8,42.09988,-82.492049
"4709",4369,86,"Papilio cresphontes",2011,8,42.09988,-82.492049
"4712",4372,86,"Papilio cresphontes",2011,8,42.09988,-82.492049
"4714",4374,86,"Papilio cresphontes",2011,8,42.09988,-82.492049
"4719",4394,86,"Papilio cresphontes",2011,8,42.09988,-82.492049
"4738",4399,86,"Papilio cresphontes",2011,9,42.09988,-82.492049
"4744",4405,86,"Papilio cresphontes",2011,10,42.09988,-82.492049
"5208",4877,86,"Papilio cresphontes",2012,5,41.961729,-82.520875
"5320",4982,86,"Papilio cresphontes",2012,5,42.633143,-81.82762
"5323",4994,86,"Papilio cresphontes",2012,5,42.647412,-81.828221
"5488",5159,86,"Papilio cresphontes",2012,5,44.56719,-76.324072
"5803",5433,86,"Papilio cresphontes",2012,5,44.523782,-76.392558
"5865",5495,86,"Papilio cresphontes",2012,5,44.537061,-76.404135
"5873",5503,86,"Papilio cresphontes",2012,5,44.56719,-76.324072
"5979",5609,86,"Papilio cresphontes",2012,5,45.511635,-77.72898
"6016",5646,86,"Papilio cresphontes",2012,5,44.464654,-76.433751
"6021",5651,86,"Papilio cresphontes",2012,5,44.56719,-76.324072
"6093",5724,86,"Papilio cresphontes",2012,5,44.896767,-76.10875
"6162",5794,86,"Papilio cresphontes",2012,5,41.961729,-82.520875
"6206",5863,86,"Papilio cresphontes",2012,5,41.968127,-82.533814
"6504",6189,86,"Papilio cresphontes",2012,5,44.643051,-76.335242
"6531",6217,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6536",6222,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6542",6228,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6548",6234,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6552",6238,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6563",6245,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"6599",6285,86,"Papilio cresphontes",2012,5,44.523782,-76.392558
"6778",6465,86,"Papilio cresphontes",2012,5,44.56719,-76.324072
"6938",6620,86,"Papilio cresphontes",2012,5,43.467596,-80.532607
"7019",6712,86,"Papilio cresphontes",2012,5,44.898834,-76.101998
"7110",6810,86,"Papilio cresphontes",2012,5,42.641138,-80.778131
"7142",6843,86,"Papilio cresphontes",2012,5,44.902765,-76.242188
"7167",6868,86,"Papilio cresphontes",2012,5,44.56719,-76.324072
"7211",6912,86,"Papilio cresphontes",2012,5,44.590778,-77.124356
"7251",6952,86,"Papilio cresphontes",2012,5,45.31456,-75.862688
"7635",7275,86,"Papilio cresphontes",2012,6,44.523782,-76.392558
"7688",7335,86,"Papilio cresphontes",2012,6,44.643051,-76.335242
"8067",7751,86,"Papilio cresphontes",2012,6,44.523782,-76.392558
"8108",7788,86,"Papilio cresphontes",2012,6,45.389982,-75.681662
"8460",8143,86,"Papilio cresphontes",2012,5,42.09988,-82.492049
"8485",8165,86,"Papilio cresphontes",2012,6,42.09988,-82.492049
"8865",8534,86,"Papilio cresphontes",2012,6,45.561023,-73.557857
"8974",8652,86,"Papilio cresphontes",2012,6,44.899685,-76.101655
"9575",9237,86,"Papilio cresphontes",2012,6,43.335718,-80.102574
"9675",9338,86,"Papilio cresphontes",2012,6,42.09988,-82.492049
"10181",9755,86,"Papilio cresphontes",2012,6,44.28438,-76.508199
"10241",9815,86,"Papilio cresphontes",2012,6,41.92336,-82.512893
"10754",10368,86,"Papilio cresphontes",2011,9,43.4583,80.5756
"11051",10598,86,"Papilio cresphontes",2012,6,44.891092,-76.103486
"11931",11412,86,"Papilio cresphontes",2012,7,42.76586,-82.418608
"12331",11784,86,"Papilio cresphontes",2012,6,45.384693,-75.7066
"13426",12810,86,"Papilio cresphontes",2012,7,44.443322,-76.079518
"13843",13242,86,"Papilio cresphontes",2012,7,44.053515,-79.467181
"14291",13694,86,"Papilio cresphontes",2012,7,42.240597,-83.0447
"14411",13774,86,"Papilio cresphontes",2012,7,41.92336,-82.512893
"14509",13884,86,"Papilio cresphontes",2012,5,43.741304,-80.948574
"14510",13883,86,"Papilio cresphontes",2012,5,43.741304,-80.948574
"14763",62888,86,"Papilio cresphontes",2012,7,43.377979,-80.342333
"14765",13998,86,"Papilio cresphontes",2012,7,43.377979,-80.342333
"14799",14029,86,"Papilio cresphontes",2012,7,44.6936,-75.7434
"15047",14283,86,"Papilio cresphontes",2012,7,43.348218,-80.111264
"15118",14350,86,"Papilio cresphontes",2012,7,44.356499,-77.107538
"15137",14371,86,"Papilio cresphontes",2012,7,44.464654,-76.433751
"15319",14553,86,"Papilio cresphontes",2012,7,45.519068,-75.912373
"15377",63022,86,"Papilio cresphontes",2012,7,44.880753,-75.747289
"15409",14598,86,"Papilio cresphontes",2012,7,44.880753,-75.747289
"15706",14881,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"15713",14888,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"15725",14900,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"15733",14908,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"15741",14916,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"15796",63172,86,"Papilio cresphontes",2012,7,44.767049,-76.255771
"15804",14960,86,"Papilio cresphontes",2012,7,44.767049,-76.255771
"15822",63184,86,"Papilio cresphontes",2012,7,44.607492,-76.278924
"15833",14972,86,"Papilio cresphontes",2012,7,44.607492,-76.278924
"15844",14983,86,"Papilio cresphontes",2012,7,44.512487,-76.39574
"15849",63195,86,"Papilio cresphontes",2012,7,44.512487,-76.39574
"15860",63202,86,"Papilio cresphontes",2012,7,44.532888,-76.376331
"15867",14990,86,"Papilio cresphontes",2012,7,44.532888,-76.376331
"15950",15074,86,"Papilio cresphontes",2012,7,44.231751,-76.6606
"16018",15142,86,"Papilio cresphontes",2012,7,43.741304,-80.948574
"16054",15171,86,"Papilio cresphontes",2012,7,43.741304,-80.948574
"16815",15780,86,"Papilio cresphontes",2012,7,45.085586,-75.908565
"17030",15963,86,"Papilio cresphontes",2012,6,43.741304,-80.948574
"17032",15965,86,"Papilio cresphontes",2012,6,43.741304,-80.948574
"17076",16009,86,"Papilio cresphontes",2012,5,43.741304,-80.948574
"17147",16088,86,"Papilio cresphontes",2012,7,44.053515,-79.467181
"17148",16089,86,"Papilio cresphontes",2012,7,44.053515,-79.467181
"17149",16090,86,"Papilio cresphontes",2012,7,45.369008,-75.79863
"17150",63923,86,"Papilio cresphontes",2012,7,45.369008,-75.79863
"17183",16125,86,"Papilio cresphontes",2012,7,43.9311,-78.975038
"17336",16278,86,"Papilio cresphontes",2012,7,45.373152,-75.797864
"17498",16438,86,"Papilio cresphontes",2012,7,45.363247,-75.862747
"17517",16460,86,"Papilio cresphontes",2012,7,45.012758,-75.637812
"17520",16462,86,"Papilio cresphontes",2012,7,44.999468,-75.640515
"17521",16463,86,"Papilio cresphontes",2012,7,44.999468,-75.640515
"17592",16535,86,"Papilio cresphontes",2012,7,45.371086,-75.791363
"17598",16541,86,"Papilio cresphontes",2012,7,45.365328,-75.889489
"17635",16580,86,"Papilio cresphontes",2012,8,45.374764,-75.785912
"17721",16665,86,"Papilio cresphontes",2012,8,43.741304,-80.948574
"17724",16668,86,"Papilio cresphontes",2012,8,43.741304,-80.948574
"17787",16725,86,"Papilio cresphontes",2012,8,42.225202,-82.551602
"17814",16744,86,"Papilio cresphontes",2012,8,45.115394,-73.465394
"17849",16783,86,"Papilio cresphontes",2012,8,45.33788,-75.89187
"17853",16787,86,"Papilio cresphontes",2012,8,45.248659,-75.442377
"17857",16794,86,"Papilio cresphontes",2012,8,44.995781,-75.633472
"17869",16805,86,"Papilio cresphontes",2012,8,46.483284,-71.074591
"17972",16905,86,"Papilio cresphontes",2012,8,43.741304,-80.948574
"18078",17006,86,"Papilio cresphontes",2012,8,42.559724,-82.513665
"18170",17101,86,"Papilio cresphontes",2012,8,45.227579,-72.077712
"18173",17104,86,"Papilio cresphontes",2012,8,44.554948,-78.341693
"18179",17110,86,"Papilio cresphontes",2012,8,44.893767,-76.29506
"18189",17120,86,"Papilio cresphontes",2012,8,45.361559,-75.869168
"18204",17136,86,"Papilio cresphontes",2012,8,42.65827,-81.777581
"18234",64052,86,"Papilio cresphontes",2012,8,42.946564,-81.652097
"18246",17155,86,"Papilio cresphontes",2012,8,42.946564,-81.652097
"18262",17171,86,"Papilio cresphontes",2012,8,42.791186,-81.768397
"18268",17173,86,"Papilio cresphontes",2012,8,42.66597,-81.76505
"18286",17195,86,"Papilio cresphontes",2012,8,43.383099,-80.35498
"18306",64071,86,"Papilio cresphontes",2012,8,43.383099,-80.35498
"18331",64093,86,"Papilio cresphontes",2012,8,43.383305,-80.384838
"18344",17217,86,"Papilio cresphontes",2012,8,43.383305,-80.384838
"18444",17286,86,"Papilio cresphontes",2012,8,44.509614,-76.03149
"18676",17503,86,"Papilio cresphontes",2012,8,42.575717,-81.780929
"18692",64194,86,"Papilio cresphontes",2012,8,42.575717,-81.780929
"18700",64206,86,"Papilio cresphontes",2012,8,42.586903,-81.764277
"18712",17515,86,"Papilio cresphontes",2012,8,42.586903,-81.764277
"18721",17524,86,"Papilio cresphontes",2012,8,42.679475,-81.74591
"18723",17526,86,"Papilio cresphontes",2012,8,42.6955,-81.725224
"18788",17591,86,"Papilio cresphontes",2012,8,44.56719,-76.324072
"18794",17600,86,"Papilio cresphontes",2012,5,43.382537,-80.353135
"18811",17614,86,"Papilio cresphontes",2012,5,43.382537,-80.353135
"18828",17630,86,"Papilio cresphontes",2012,5,43.382537,-80.353135
"18844",17647,86,"Papilio cresphontes",2012,6,43.382537,-80.353135
"18859",17662,86,"Papilio cresphontes",2012,6,43.382537,-80.353135
"18880",17683,86,"Papilio cresphontes",2012,6,43.382537,-80.353135
"18986",17791,86,"Papilio cresphontes",2012,7,43.382537,-80.353135
"18998",17803,86,"Papilio cresphontes",2012,7,43.382537,-80.353135
"19017",17822,86,"Papilio cresphontes",2012,7,43.908333,-77.266122
"19034",17835,86,"Papilio cresphontes",2012,7,43.857002,-77.1253
"19036",17841,86,"Papilio cresphontes",2012,7,43.857002,-77.1253
"19065",17870,86,"Papilio cresphontes",2012,7,43.4583,-80.5756
"19084",17889,86,"Papilio cresphontes",2012,7,43.4583,-80.5756
"19087",17892,86,"Papilio cresphontes",2012,7,43.4583,-80.5756
"19110",17915,86,"Papilio cresphontes",2012,8,43.4583,-80.5756
"19233",18041,86,"Papilio cresphontes",2012,8,43.424645,-80.514936
"19286",18090,86,"Papilio cresphontes",2012,5,43.371869,-80.360345
"19300",18105,86,"Papilio cresphontes",2012,5,43.371869,-80.360345
"19311",18116,86,"Papilio cresphontes",2012,6,43.371869,-80.360345
"19395",18200,86,"Papilio cresphontes",2012,7,43.371869,-80.360345
"19407",18212,86,"Papilio cresphontes",2012,7,43.371869,-80.360345
"19420",18225,86,"Papilio cresphontes",2012,8,43.371869,-80.360345
"19435",18239,86,"Papilio cresphontes",2012,8,43.371869,-80.360345
"19452",18257,86,"Papilio cresphontes",2012,5,43.384268,-80.373756
"19498",18303,86,"Papilio cresphontes",2012,7,43.384268,-80.373756
"19548",18353,86,"Papilio cresphontes",2012,8,45.424665,-71.883363
"19869",18664,86,"Papilio cresphontes",2012,8,43.527785,-79.682507
"20123",18911,86,"Papilio cresphontes",2012,8,45.520546,-71.816071
"20384",19106,86,"Papilio cresphontes",2012,8,46.785844,-71.248731
"20508",19232,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"20514",19238,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"20519",19243,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"20524",19248,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"20539",19257,86,"Papilio cresphontes",2012,7,42.09988,-82.492049
"20542",19266,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20573",19297,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20591",19315,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20665",19390,86,"Papilio cresphontes",2012,8,45.244244,-75.423321
"20831",19549,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20843",19561,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20854",19572,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20867",19585,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20878",19596,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20901",19607,86,"Papilio cresphontes",2012,8,41.954803,-82.522007
"20903",19621,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"20917",19635,86,"Papilio cresphontes",2012,8,46.048638,-65.558671
"21031",19749,86,"Papilio cresphontes",2012,8,45.084738,-75.482759
"21121",19817,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"21144",19838,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"21371",20064,86,"Papilio cresphontes",2012,8,42.09988,-82.492049
"21386",64478,86,"Papilio cresphontes",2012,8,42.041522,-83.036717
