"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"379",216,216,"Speyeria hydaspe",2011,7,49.0726653,-119.0603965
"573",325,216,"Speyeria hydaspe",2011,7,49.06594,-119.0603965
"3959",3608,216,"Speyeria hydaspe",2011,8,49.115213,-119.674464
"12717",12141,216,"Speyeria hydaspe",2012,7,49.14685,-119.40092
"12731",12153,216,"Speyeria hydaspe",2012,7,49.12928,-119.37057
"17524",16467,216,"Speyeria hydaspe",2012,7,49.2018,-119.63048
"19266",18071,216,"Speyeria hydaspe",2012,8,49.658021,-115.939311
"23145",21816,216,"Speyeria hydaspe",2012,8,49.12219,-119.35628
"25243",24620,216,"Speyeria hydaspe",2006,8,49.751304,-125.296401
"28440",27091,216,"Speyeria hydaspe",2002,7,51.88,-115.38
"28441",27092,216,"Speyeria hydaspe",2002,7,51.88,-115.38
"28442",27093,216,"Speyeria hydaspe",2002,7,51.88,-115.38
"28443",27094,216,"Speyeria hydaspe",2002,7,51.88,-115.38
"43000",41089,216,"Speyeria hydaspe",2013,6,49.1035,-119.61652
"44544",42540,216,"Speyeria hydaspe",2013,7,39.089335,-120.191417
"49231",47013,216,"Speyeria hydaspe",2013,7,49.054661,-118.845667
"49246",47021,216,"Speyeria hydaspe",2013,7,49.056015,-118.830829
"49423",47231,216,"Speyeria hydaspe",2013,7,50.105111,-114.730997
"49524",47300,216,"Speyeria hydaspe",2013,7,49.082388,-118.806317
"49660",47437,216,"Speyeria hydaspe",2013,7,49.063957,-118.853166
"49693",47476,216,"Speyeria hydaspe",2013,7,49.071394,-118.851447
"49744",47528,216,"Speyeria hydaspe",2013,7,49.075803,-118.85507
"49753",47539,216,"Speyeria hydaspe",2013,7,49.079886,-118.863836
"49770",47548,216,"Speyeria hydaspe",2013,7,49.085135,-118.847389
"49788",47569,216,"Speyeria hydaspe",2013,7,49.152144,-118.844798
"50900",48777,216,"Speyeria hydaspe",2013,8,49.055509,-118.834519
"51135",48788,216,"Speyeria hydaspe",2013,8,49.056015,-118.830829
"51145",48799,216,"Speyeria hydaspe",2013,8,49.051213,-118.836306
"51157",48810,216,"Speyeria hydaspe",2013,8,49.040367,-118.839983
"51182",48835,216,"Speyeria hydaspe",2013,8,49.065528,-118.818847
"51197",48851,216,"Speyeria hydaspe",2013,8,49.065528,-118.818847
"51547",49158,216,"Speyeria hydaspe",2013,8,49.063957,-118.853166
"51557",49168,216,"Speyeria hydaspe",2013,8,49.070412,-118.855028
"51568",49178,216,"Speyeria hydaspe",2013,8,49.0717,-118.854429
"54154",165060,216,"Speyeria hydaspe",2013,8,47.970014,-123.498409
"60984",58309,216,"Speyeria hydaspe",2005,7,49.131471,-119.672109
"62350",59808,216,"Speyeria hydaspe",2011,7,49.0726653,-119.0603965
"62365",59826,216,"Speyeria hydaspe",2011,7,49.0726653,-119.0603965
"62476",59998,216,"Speyeria hydaspe",2011,7,49.06594,-119.0603965
"62478",60011,216,"Speyeria hydaspe",2011,7,49.06594,-119.0603965
"65019",64245,216,"Speyeria hydaspe",2012,8,49.658021,-115.939311
"65567",65028,216,"Speyeria hydaspe",2006,8,49.751304,-125.296401
"65569",65032,216,"Speyeria hydaspe",2006,8,49.751304,-125.296401
"76312",78131,216,"Speyeria hydaspe",2014,6,49.995338,-126.141305
"76313",78132,216,"Speyeria hydaspe",2014,6,49.969942,-126.056364
"76818",78632,216,"Speyeria hydaspe",2014,6,49.347347,-125.088022
"87921",110866,216,"Speyeria hydaspe",2014,9,49.769292,-115.466223
"89146",112100,216,"Speyeria hydaspe",1982,7,41.243979,-122.020048
"91888",116843,216,"Speyeria hydaspe",2014,7,49.199556,-119.011855
"91935",116987,216,"Speyeria hydaspe",2014,8,49.197341,-118.998491
"91940",116991,216,"Speyeria hydaspe",2014,8,49.180904,-119.003757
"91944",116995,216,"Speyeria hydaspe",2014,8,49.198982,-119.01223
