"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"5993",5622,123,"Colias christina",2007,7,49.360264,-114.619836
"28337",26988,123,"Colias christina",2002,7,51.88,-115.38
"28338",26989,123,"Colias christina",2002,7,51.88,-115.38
"28528",27179,123,"Colias christina",2005,8,52.387,-116.366
"28529",27180,123,"Colias christina",2005,6,52.5,-112.704
"28636",27287,123,"Colias christina",2007,7,52.322,-112.883
"28686",27337,123,"Colias christina",2010,8,50.2,-114.53
"28954",27617,123,"Colias christina",2009,7,53.309077,-117.868227
"29038",27700,123,"Colias christina",2010,7,53.397609,-117.711897
"32635",31251,123,"Colias christina",1985,7,50.739849,-100.248631
"33905",32444,123,"Colias christina",1988,7,49.640956,-110.148926
"34439",33027,123,"Colias christina",2012,7,52.945208,-117.24155
"34462",33049,123,"Colias christina",2012,8,53.541057,-117.889644
"34479",33066,123,"Colias christina",2012,7,53.399349,-117.590151
"43399",41458,123,"Colias christina",2013,7,62.458106,-114.352312
"43495",41557,123,"Colias christina",2013,7,62.457757,-114.375401
"49426",47237,123,"Colias christina",2013,7,50.105111,-114.730997
"58180",55539,123,"Colias christina",2013,7,50.840013,-115.351124
"60598",57925,123,"Colias christina",2003,7,55.596445,-121.49677
"60882",58206,123,"Colias christina",2005,6,53.145901,-117.974641
"61101",58422,123,"Colias christina",2003,7,55.134491,-121.125058
"61111",58436,123,"Colias christina",2003,7,55.13372,-121.124419
"61123",58446,123,"Colias christina",2003,7,55.133292,-121.124026
"61161",58481,123,"Colias christina",2003,7,55.131304,-121.122253
"61163",58486,123,"Colias christina",2003,7,55.131687,-121.122633
"61167",58490,123,"Colias christina",2003,7,55.132078,-121.122996
"61171",58493,123,"Colias christina",2003,7,55.132506,-121.12333
"61177",58500,123,"Colias christina",2003,7,55.132898,-121.123667
"61599",58909,123,"Colias christina",2003,7,55.14192,-121.131262
"61605",58915,123,"Colias christina",2003,7,55.142369,-121.131591
"66689",67235,123,"Colias christina",1988,7,49.640956,-110.148926
"78814",81296,123,"Colias christina",2009,7,68.313912,-133.499047
"79516",81287,123,"Colias christina",2009,7,61.113721,-135.226593
"79624",81293,123,"Colias christina",2010,7,58.856466,-125.250578
"79628",81294,123,"Colias christina",2011,7,61.113721,-135.226593
"79632",81295,123,"Colias christina",2012,7,61.113721,-135.226593
"91191",115112,123,"Colias christina",2014,7,51.95,-112.95
