"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"27395",26006,18,"Erynnis afranius",2012,6,50.7696,-103.7836
"31233",29844,18,"Erynnis afranius",2011,5,35.177299,-106.379328
"44798",42784,18,"Erynnis afranius",2013,7,53.956086,-96.064453
"76219",78016,18,"Erynnis afranius",2014,6,34.432293,-112.42198
"110626",184659,18,"Erynnis afranius",2015,7,50.753156,-111.52123
