"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"34169",32710,826,"Ganyra josephina",2002,11,26.080978,-98.136004
"39808",38202,826,"Ganyra josephina",1977,9,26.285412,-98.141212
"81875",83513,826,"Ganyra josephina",2013,9,26.179819,-98.366518
"91066",114943,826,"Ganyra josephina",2014,10,26.179819,-98.366518
"95097",128517,826,"Ganyra josephina",2015,5,26.179819,-98.366518
"95864",130144,826,"Ganyra josephina",2015,5,26.179819,-98.366518
"96851",132389,826,"Ganyra josephina",2015,5,26.179819,-98.366518
"107655",171593,826,"Ganyra josephina",2015,10,26.125292,-97.953157
