"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"28062",26717,596,"Hemiargus ceraunus",2010,4,28.073381,-82.831142
"29155",27816,596,"Hemiargus ceraunus",2005,8,31.498214,-110.849748
"29221",27870,596,"Hemiargus ceraunus",2004,9,31.405517,-111.086934
"29320",27981,596,"Hemiargus ceraunus",2004,10,31.498214,-110.849748
"29440",28086,596,"Hemiargus ceraunus",2013,1,26.394368,-98.143981
"29446",28092,596,"Hemiargus ceraunus",2013,1,26.394368,-98.143981
"29633",66112,596,"Hemiargus ceraunus",2004,9,31.675005,-110.887856
"29647",28266,596,"Hemiargus ceraunus",2004,9,31.675005,-110.887856
"31327",29938,596,"Hemiargus ceraunus",2011,8,34.667876,-106.738229
"31333",29945,596,"Hemiargus ceraunus",2011,8,35.033475,-106.374071
"31344",29955,596,"Hemiargus ceraunus",2011,9,35.08083,-106.671839
"33741",32295,596,"Hemiargus ceraunus",2012,6,26.176314,-98.367033
"33748",67165,596,"Hemiargus ceraunus",2012,6,26.176314,-98.367033
"34150",32716,596,"Hemiargus ceraunus",2002,11,26.080978,-98.136004
"34781",33345,596,"Hemiargus ceraunus",2012,9,33.118971,-83.75247
"35122",33653,596,"Hemiargus ceraunus",1998,7,32.231303,-109.826151
"36428",34900,596,"Hemiargus ceraunus",2009,9,27.243794,-80.829849
"42907",41146,596,"Hemiargus ceraunus",1977,9,26.285412,-98.141212
"43081",41145,596,"Hemiargus ceraunus",1972,8,27.656467,-80.387478
"46278",44171,596,"Hemiargus ceraunus",2013,7,29.573308,-82.638221
"46425",44319,596,"Hemiargus ceraunus",2013,7,29.573308,-82.638221
"53391",50917,596,"Hemiargus ceraunus",2013,8,31.431986,-111.18848
"53663",51171,596,"Hemiargus ceraunus",2013,8,31.916543,-109.273539
"59679",56999,596,"Hemiargus ceraunus",2013,11,29.609431,-98.238652
"62266",59596,596,"Hemiargus ceraunus",2014,2,31.405517,-111.086934
"62279",59610,596,"Hemiargus ceraunus",2014,2,31.456124,-111.247559
"66327",65888,596,"Hemiargus ceraunus",2005,8,31.498214,-110.849748
"66363",65921,596,"Hemiargus ceraunus",2004,9,31.405517,-111.086934
"66457",66017,596,"Hemiargus ceraunus",2004,10,31.498214,-110.849748
"67477",67175,596,"Hemiargus ceraunus",2012,6,26.176314,-98.367033
"67488",67185,596,"Hemiargus ceraunus",2012,6,26.176314,-98.367033
"72151",73828,596,"Hemiargus ceraunus",2013,1,25.916478,-81.367899
"72665",74363,596,"Hemiargus ceraunus",2013,7,29.573308,-82.638221
"73137",74858,596,"Hemiargus ceraunus",2004,6,31.766704,-110.606815
"73161",74863,596,"Hemiargus ceraunus",2004,6,31.766704,-110.606815
"77526",79296,596,"Hemiargus ceraunus",2014,6,27.549642,-99.483245
"78278",80049,596,"Hemiargus ceraunus",2014,6,26.179819,-98.366518
"79967",81715,596,"Hemiargus ceraunus",2013,2,26.179819,-98.366518
"82009",83641,596,"Hemiargus ceraunus",2013,10,32.004839,-81.091247
"82033",83674,596,"Hemiargus ceraunus",2013,9,31.631216,-81.268402
"82084",83730,596,"Hemiargus ceraunus",2012,10,32.749063,-83.589602
"82116",83757,596,"Hemiargus ceraunus",2012,12,32.431122,-83.991036
"82977",84579,596,"Hemiargus ceraunus",2014,6,26.179819,-98.366518
"86088",108892,596,"Hemiargus ceraunus",2014,9,28.653394,-81.154708
"86718",109507,596,"Hemiargus ceraunus",2007,11,31.725833,-110.880278
"86982",109903,596,"Hemiargus ceraunus",2014,9,28.653394,-81.154708
"87478",110416,596,"Hemiargus ceraunus",2014,9,28.653394,-81.154708
"88433",111372,596,"Hemiargus ceraunus",2014,9,26.149224,-97.994993
"89027",111965,596,"Hemiargus ceraunus",2014,9,26.179819,-98.366518
"89216",112162,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"89781",112749,596,"Hemiargus ceraunus",2014,10,28.653394,-81.154708
"89783",112746,596,"Hemiargus ceraunus",2014,10,28.653394,-81.154708
"89846",112814,596,"Hemiargus ceraunus",2014,10,28.65028,-81.156753
"89860",112834,596,"Hemiargus ceraunus",2014,10,28.567572,-81.355385
"90207",113580,596,"Hemiargus ceraunus",2014,10,26.149224,-97.994993
"90266",113623,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"90304",113680,596,"Hemiargus ceraunus",2014,10,26.266325,-98.53406
"90346",113737,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"90376",113789,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"90616",114083,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"90657",114124,596,"Hemiargus ceraunus",2014,10,26.149224,-97.994993
"90825",114388,596,"Hemiargus ceraunus",2014,10,26.149224,-97.994993
"91069",114917,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"91171",115058,596,"Hemiargus ceraunus",2014,10,26.179819,-98.366518
"91368",115385,596,"Hemiargus ceraunus",2014,11,26.266325,-98.53406
"91484",115860,596,"Hemiargus ceraunus",2014,11,26.179819,-98.366518
"95110",128505,596,"Hemiargus ceraunus",2015,5,26.179819,-98.366518
"98605",136733,596,"Hemiargus ceraunus",2015,6,25.963307,-97.253456
"98788",137840,596,"Hemiargus ceraunus",2015,6,26.179819,-98.366518
"101229",143528,596,"Hemiargus ceraunus",2015,6,26.179819,-98.366518
"106109",166511,596,"Hemiargus ceraunus",2015,9,26.125292,-97.953157
"107475",171105,596,"Hemiargus ceraunus",2015,10,25.963307,-97.253456
"107511",171143,596,"Hemiargus ceraunus",2015,10,26.179819,-98.366518
"107615",171471,596,"Hemiargus ceraunus",2015,10,26.179819,-98.366518
"108062",173916,596,"Hemiargus ceraunus",2015,12,26.179819,-98.366518
"108267",174228,596,"Hemiargus ceraunus",2015,12,28.809673,-80.855768
"108769",177813,596,"Hemiargus ceraunus",2016,4,26.179819,-98.366518
"109701",180881,596,"Hemiargus ceraunus",2016,4,31.503117,-110.833683
"109866",181410,596,"Hemiargus ceraunus",2016,5,26.125292,-97.953157
"111112",185949,596,"Hemiargus ceraunus",2004,11,24.66022,-81.274874
