"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"35351",33844,553,"Callophrys hesseli",2013,4,34.214584,-78.387451
"35358",67612,553,"Callophrys hesseli",2013,4,34.214584,-78.387451
"75279",77062,553,"Callophrys hesseli",2014,5,39.803986,-74.397054
"75499",77301,553,"Callophrys hesseli",2014,5,43.55317,-70.46771
