"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"35121",33654,740,"Megisto rubricata",1998,7,32.231303,-109.826151
"35369",33858,740,"Megisto rubricata",1998,7,31.7131,-110.87397
"46461",44355,740,"Megisto rubricata",2013,7,34.457031,-112.537551
"53401",50924,740,"Megisto rubricata",2013,8,31.431986,-111.18848
"53606",51109,740,"Megisto rubricata",2013,8,31.448216,-110.306726
"54235",51712,740,"Megisto rubricata",2013,6,31.723495,-110.880783
"58352",55698,740,"Megisto rubricata",2013,9,31.431986,-111.18848
"81690",83324,740,"Megisto rubricata",2012,5,31.488985,-110.408137
"82581",84217,740,"Megisto rubricata",2014,6,31.51271,-110.390743
"85846",108669,740,"Megisto rubricata",1994,5,29.274927,-103.304443
"86321",109132,740,"Megisto rubricata",2001,5,31.725833,-110.880278
