"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"890",570,201,"Polyommatus icarus",2011,8,45.6342314,-74.2930598
"896",60254,201,"Polyommatus icarus",2011,8,45.6342314,-74.2930598
"1091",60430,201,"Polyommatus icarus",2011,8,45.64015,-73.89152
"1099",60436,201,"Polyommatus icarus",2011,8,45.64015,-73.89152
"1105",60424,201,"Polyommatus icarus",2011,8,45.64015,-73.89152
"1110",789,201,"Polyommatus icarus",2011,8,45.64015,-73.89152
"1116",795,201,"Polyommatus icarus",2011,8,45.61998,-73.89854
"1122",60454,201,"Polyommatus icarus",2011,8,45.61998,-73.89854
"1132",60448,201,"Polyommatus icarus",2011,8,45.61998,-73.89854
"1135",60442,201,"Polyommatus icarus",2011,8,45.61998,-73.89854
"21804",20495,201,"Polyommatus icarus",2012,8,45.56051,-73.557675
"24092",22710,201,"Polyommatus icarus",2012,8,45.52677,-73.709201
"24093",22711,201,"Polyommatus icarus",2012,9,45.52677,-73.709201
"39397",37643,201,"Polyommatus icarus",2013,6,45.542442,-73.566631
"39631",37882,201,"Polyommatus icarus",2013,6,45.563042,-73.56618
"40310",38591,201,"Polyommatus icarus",2011,6,45.728685,-74.127853
"40311",38592,201,"Polyommatus icarus",2011,6,45.728685,-74.127853
"40312",38593,201,"Polyommatus icarus",2011,6,45.728685,-74.127853
"40313",38594,201,"Polyommatus icarus",2011,6,45.728685,-74.127853
"41083",39370,201,"Polyommatus icarus",2013,6,45.542442,-73.566631
"41568",39826,201,"Polyommatus icarus",2013,6,45.663666,-73.927367
"49650",47427,201,"Polyommatus icarus",2013,7,45.663738,-73.927656
"54221",51697,201,"Polyommatus icarus",2013,8,45.759731,-73.827983
"54223",51699,201,"Polyommatus icarus",2013,8,45.759761,-73.82791
"55929",53289,201,"Polyommatus icarus",2013,8,45.663666,-73.927367
"57898",55255,201,"Polyommatus icarus",2013,9,45.56051,-73.557675
"57998",55353,201,"Polyommatus icarus",2013,10,45.563042,-73.56618
"58004",72134,201,"Polyommatus icarus",2013,10,45.563042,-73.56618
"58429",55781,201,"Polyommatus icarus",2013,10,45.563042,-73.56618
"62634",60265,201,"Polyommatus icarus",2011,8,45.6342314,-74.2930598
"62652",60276,201,"Polyommatus icarus",2011,8,45.6342314,-74.2930598
"65159",64508,201,"Polyommatus icarus",2012,8,45.56051,-73.557675
"68305",68507,201,"Polyommatus icarus",2013,6,45.563042,-73.56618
"68431",68681,201,"Polyommatus icarus",2013,6,45.542442,-73.566631
"70729",72175,201,"Polyommatus icarus",2013,10,45.563042,-73.56618
"75649",77451,201,"Polyommatus icarus",2014,5,45.663307,-73.927302
"75654",77456,201,"Polyommatus icarus",2014,5,45.655516,-73.895585
"77778",79590,201,"Polyommatus icarus",2014,6,45.663666,-73.927367
"78257",80035,201,"Polyommatus icarus",2014,6,45.643441,-73.898989
"80165",81784,201,"Polyommatus icarus",2010,7,45.696531,-74.011502
"81497",83139,201,"Polyommatus icarus",2014,6,45.663738,-73.927656
"82543",84186,201,"Polyommatus icarus",2014,6,45.663666,-73.927367
"86285",109081,201,"Polyommatus icarus",2014,9,45.458142,-73.640138
"86357",109162,201,"Polyommatus icarus",2014,9,45.663738,-73.927656
"86491",109303,201,"Polyommatus icarus",2014,9,45.607576,-73.696392
"86497",109299,201,"Polyommatus icarus",2014,9,45.607576,-73.696392
"86895",109712,201,"Polyommatus icarus",2014,9,45.476989,-73.828098
"86901",109719,201,"Polyommatus icarus",2014,9,45.560002,-73.563009
"88286",111234,201,"Polyommatus icarus",2014,9,45.459342,-73.642444
"88401",111348,201,"Polyommatus icarus",2014,9,45.643441,-73.898989
"88887",111839,201,"Polyommatus icarus",2014,9,45.458565,-73.640064
"88890",111836,201,"Polyommatus icarus",2014,9,45.475792,-73.829965
"89137",112091,201,"Polyommatus icarus",2014,9,45.459546,-73.642473
"89162",112116,201,"Polyommatus icarus",2014,9,45.458565,-73.640064
"89290",112246,201,"Polyommatus icarus",2014,9,45.458565,-73.640064
"89454",112415,201,"Polyommatus icarus",2014,10,45.56051,-73.557675
"89458",112418,201,"Polyommatus icarus",2014,10,45.56051,-73.557675
"89508",112471,201,"Polyommatus icarus",2014,9,45.459581,-73.64235
"90122",113367,201,"Polyommatus icarus",2014,10,45.577097,-73.659622
"96997",132694,201,"Polyommatus icarus",2015,5,45.655516,-73.895585
"97302",133538,201,"Polyommatus icarus",2015,6,45.655516,-73.895585
"97590",134439,201,"Polyommatus icarus",2015,6,45.663666,-73.927367
"97595",134448,201,"Polyommatus icarus",2015,6,45.655516,-73.895585
"98430",136329,201,"Polyommatus icarus",2015,6,45.643718,-73.899225
"98617",136795,201,"Polyommatus icarus",2015,6,45.663738,-73.927656
"99519",138997,201,"Polyommatus icarus",2015,6,45.663738,-73.927656
"99523",139006,201,"Polyommatus icarus",2015,6,45.655516,-73.895585
"99712",139241,201,"Polyommatus icarus",2015,6,45.663738,-73.927656
"100256",140749,201,"Polyommatus icarus",2015,6,45.643718,-73.899225
"100347",141103,201,"Polyommatus icarus",2015,6,45.643718,-73.899225
"100592",141706,201,"Polyommatus icarus",2015,6,45.643441,-73.898989
"103807",160463,201,"Polyommatus icarus",2015,8,45.56051,-73.557675
"103926",160753,201,"Polyommatus icarus",2015,8,45.655516,-73.895585
"105425",164883,201,"Polyommatus icarus",2015,9,45.655516,-73.895585
"105458",164968,201,"Polyommatus icarus",2015,9,45.56051,-73.557675
"105545",165131,201,"Polyommatus icarus",2015,9,45.643718,-73.899225
"105555",165144,201,"Polyommatus icarus",2015,9,45.427804,-73.592186
"106472",167316,201,"Polyommatus icarus",2015,9,45.56051,-73.557675
"106626",167695,201,"Polyommatus icarus",2015,9,45.56051,-73.557675
"106648",167724,201,"Polyommatus icarus",2015,9,45.655516,-73.895585
"106743",167901,201,"Polyommatus icarus",2015,9,45.56051,-73.557675
"107072",169337,201,"Polyommatus icarus",2015,9,45.577097,-73.659622
"107165",169922,201,"Polyommatus icarus",2015,10,45.56051,-73.557675
"107458",171064,201,"Polyommatus icarus",2015,10,45.56051,-73.557675
"110656",184717,201,"Polyommatus icarus",2016,5,45.56051,-73.557675
"111038",185724,201,"Polyommatus icarus",2016,5,45.563042,-73.56618
"111239",186593,201,"Polyommatus icarus",2016,6,45.577097,-73.659622
"111631",188346,201,"Polyommatus icarus",2016,6,45.655516,-73.895585
"111640",188354,201,"Polyommatus icarus",2016,6,45.655516,-73.895585
"111648",188361,201,"Polyommatus icarus",2016,6,45.655516,-73.895585
"112076",189844,201,"Polyommatus icarus",2016,6,45.423798,-73.932809
