"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"410",59837,81,"Papilio polyxenes",2009,8,42.6277618,-80.7345029
"417",225,81,"Papilio polyxenes",2009,8,42.6277618,-80.7345029
"886",566,81,"Papilio polyxenes",2011,8,45.6342314,-74.2930598
"898",60250,81,"Papilio polyxenes",2011,8,45.6342314,-74.2930598
"993",60353,81,"Papilio polyxenes",2010,6,45.4831272,-74.2484607
"1014",725,81,"Papilio polyxenes",2010,6,45.4831272,-74.2484607
"1200",896,81,"Papilio polyxenes",2006,7,45.2692265,-75.7639933
"1205",901,81,"Papilio polyxenes",2010,8,45.2501172,-73.805294
"1535",1166,81,"Papilio polyxenes",2011,7,45.389643,-75.706698
"1536",1167,81,"Papilio polyxenes",2011,7,45.389643,-75.706698
"1645",1276,81,"Papilio polyxenes",2007,5,45.389644,-75.218541
"1650",1286,81,"Papilio polyxenes",2007,5,45.389644,-75.218541
"1665",1301,81,"Papilio polyxenes",2007,6,45.384693,-75.706698
"1702",1339,81,"Papilio polyxenes",2007,6,45.389644,-75.218541
"1823",1460,81,"Papilio polyxenes",2007,7,45.2497,-76.1424
"1893",1514,81,"Papilio polyxenes",2007,7,45.389644,-75.218541
"1903",1540,81,"Papilio polyxenes",2007,7,45.384693,-75.706698
"1906",1543,81,"Papilio polyxenes",2007,7,45.384693,-75.706698
"1910",1547,81,"Papilio polyxenes",2007,7,45.384693,-75.706698
"1915",1552,81,"Papilio polyxenes",2007,8,45.384693,-75.706698
"1931",1568,81,"Papilio polyxenes",2007,8,45.384693,-75.706698
"1996",1633,81,"Papilio polyxenes",2010,8,45.389643,-75.706698
"2012",1649,81,"Papilio polyxenes",2010,8,45.384693,-75.706698
"2129",1759,81,"Papilio polyxenes",2011,6,48.411944,-64.407412
"2135",1765,81,"Papilio polyxenes",2000,9,48.524726,-64.213185
"2141",1771,81,"Papilio polyxenes",2003,6,48.30592,-64.710817
"2222",1852,81,"Papilio polyxenes",2000,6,48.504078,-64.219849
"2362",1996,81,"Papilio polyxenes",2002,7,42.09988,-82.492049
"2372",2006,81,"Papilio polyxenes",2002,7,42.09988,-82.492049
"2419",2054,81,"Papilio polyxenes",2002,8,42.09988,-82.492049
"2440",2079,81,"Papilio polyxenes",2002,8,42.09988,-82.492049
"2585",4039,81,"Papilio polyxenes",2002,8,42.09988,-82.492049
"2596",2232,81,"Papilio polyxenes",2002,8,42.09988,-82.492049
"2608",2244,81,"Papilio polyxenes",2002,9,42.09988,-82.492049
"2622",2257,81,"Papilio polyxenes",2003,5,42.09988,-82.492049
"2627",2262,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2633",2267,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2638",2272,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2641",2275,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2651",2281,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2674",2310,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2681",2317,81,"Papilio polyxenes",2003,6,42.09988,-82.492049
"2740",2374,81,"Papilio polyxenes",2003,7,42.09988,-82.492049
"2794",10152,81,"Papilio polyxenes",2012,4,45.407194,-73.928254
"2885",2516,81,"Papilio polyxenes",2003,8,42.09988,-82.492049
"2962",2585,81,"Papilio polyxenes",2004,6,42.09988,-82.492049
"2966",2589,81,"Papilio polyxenes",2004,6,42.09988,-82.492049
"2983",2606,81,"Papilio polyxenes",2004,6,42.09988,-82.492049
"3034",2658,81,"Papilio polyxenes",2011,9,43.550124,-79.655275
"3060",2685,81,"Papilio polyxenes",2011,5,43.550124,-79.655275
"3074",2699,81,"Papilio polyxenes",2011,6,43.550124,-79.655275
"3192",2807,81,"Papilio polyxenes",2004,8,42.09988,-82.492049
"3243",2855,81,"Papilio polyxenes",2004,8,42.09988,-82.492049
"3279",2891,81,"Papilio polyxenes",2004,9,42.09988,-82.492049
"3287",2899,81,"Papilio polyxenes",2004,9,42.09988,-82.492049
"3294",2906,81,"Papilio polyxenes",2004,9,42.09988,-82.492049
"3303",2915,81,"Papilio polyxenes",2004,9,42.09988,-82.492049
"3386",2999,81,"Papilio polyxenes",2005,6,42.09988,-82.492049
"3439",4037,81,"Papilio polyxenes",2005,8,42.09988,-82.492049
"3449",4040,81,"Papilio polyxenes",2005,8,42.09988,-82.492049
"3452",4041,81,"Papilio polyxenes",2005,8,42.09988,-82.492049
"3482",3093,81,"Papilio polyxenes",2007,7,45.135059,-64.296351
"3499",4044,81,"Papilio polyxenes",2005,9,42.09988,-82.492049
"3502",4045,81,"Papilio polyxenes",2005,10,42.09988,-82.492049
"3549",4046,81,"Papilio polyxenes",2006,7,42.09988,-82.492049
"3590",3201,81,"Papilio polyxenes",2006,8,42.09988,-82.492049
"3672",3284,81,"Papilio polyxenes",2007,8,42.09988,-82.492049
"3798",3410,81,"Papilio polyxenes",2008,7,42.09988,-82.492049
"3801",3414,81,"Papilio polyxenes",2008,8,42.09988,-82.492049
"3809",3421,81,"Papilio polyxenes",2008,8,42.09988,-82.492049
"3815",3427,81,"Papilio polyxenes",2008,8,42.09988,-82.492049
"3822",3434,81,"Papilio polyxenes",2008,8,42.09988,-82.492049
"3823",3435,81,"Papilio polyxenes",2008,8,42.09988,-82.492049
"3996",3645,81,"Papilio polyxenes",2012,5,49.62625,-96.663989
"4070",3710,81,"Papilio polyxenes",2012,5,43.17081,-81.894903
"4107",3759,81,"Papilio polyxenes",2012,5,44.893456,-76.109272
