"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"110476",184014,923,"Speyeria sp.",2016,5,43.379269,-80.377475
"112321",191131,923,"Speyeria sp.",2016,6,43.379269,-80.377475
