"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"709",464,89,"Papilio multicaudata",2011,7,49.68226,-119.77353
"11778",11325,89,"Papilio multicaudata",2012,7,49.17921,-119.213266
"16178",15304,89,"Papilio multicaudata",2012,7,49.186846,-119.543941
"17523",16466,89,"Papilio multicaudata",2012,7,49.2018,-119.63048
"19212",18017,89,"Papilio multicaudata",2012,5,50.033922,-110.683169
"19228",18033,89,"Papilio multicaudata",2012,8,49.186846,-119.543941
"21718",20412,89,"Papilio multicaudata",2012,8,49.182489,-119.547787
"28092",26747,89,"Papilio multicaudata",2011,3,30.185032,-97.873485
"29136",27796,89,"Papilio multicaudata",2005,8,31.474426,-110.347981
"29149",27810,89,"Papilio multicaudata",2005,8,31.498214,-110.849748
"29228",27891,89,"Papilio multicaudata",2005,4,31.675005,-110.887856
"29588",66086,89,"Papilio multicaudata",2005,8,39.101092,-119.910035
"29593",28240,89,"Papilio multicaudata",2005,8,39.101092,-119.910035
"31206",29817,89,"Papilio multicaudata",2011,4,35.092998,-106.392052
"31234",29845,89,"Papilio multicaudata",2011,5,35.177299,-106.379328
"31248",29859,89,"Papilio multicaudata",2011,5,35.194117,-106.401161
"31254",29865,89,"Papilio multicaudata",2011,5,35.136405,-106.47784
"31268",29880,89,"Papilio multicaudata",2011,6,35.194117,-106.401161
"31290",29901,89,"Papilio multicaudata",2011,8,35.085009,-106.621971
"31306",29914,89,"Papilio multicaudata",2011,8,35.177299,-106.379328
"31847",30460,89,"Papilio multicaudata",1982,6,31.407641,-110.290804
"31928",30544,89,"Papilio multicaudata",2002,6,38.576705,-107.720442
"34529",33117,89,"Papilio multicaudata",2013,4,34.620177,-112.557464
"34553",33141,89,"Papilio multicaudata",2012,9,34.426664,-112.427044
"34567",33155,89,"Papilio multicaudata",2012,8,34.752085,-112.016623
"34576",33164,89,"Papilio multicaudata",2012,8,34.620177,-112.557464
"34586",33175,89,"Papilio multicaudata",2012,8,34.509563,-112.477469
"34922",33486,89,"Papilio multicaudata",2013,4,34.457031,-112.537551
"35263",33784,89,"Papilio multicaudata",2013,4,34.546721,-112.534504
