"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"42",55648,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"28008",26660,2,"Urbanus proteus",2012,1,28.389928,-81.542673
"29717",28315,2,"Urbanus proteus",2012,8,35.6925,-82.695
"29803",28422,2,"Urbanus proteus",2012,10,38.638813,-77.249422
"31814",30427,2,"Urbanus proteus",2010,6,24.824716,-80.812511
"34188",32675,2,"Urbanus proteus",2002,11,26.080978,-98.136004
"36421",34893,2,"Urbanus proteus",2009,9,27.243794,-80.829849
"36449",34924,2,"Urbanus proteus",2009,9,28.321251,-81.414814
"40249",38522,2,"Urbanus proteus",2010,10,33.320036,-82.006647
"40296",38570,2,"Urbanus proteus",2012,11,33.320036,-82.006647
"42934",41024,2,"Urbanus proteus",2013,7,30.784015,-81.695068
"43213",41279,2,"Urbanus proteus",2008,11,27.933754,-81.362343
"43216",41286,2,"Urbanus proteus",2013,7,30.784015,-81.695068
"43217",41282,2,"Urbanus proteus",2008,10,28.851891,-81.269302
"44481",42468,2,"Urbanus proteus",2013,7,30.784015,-81.695068
"44987",42992,2,"Urbanus proteus",1977,9,26.474261,-81.966591
"55324",52679,2,"Urbanus proteus",2013,8,30.784015,-81.695068
"55637",52997,2,"Urbanus proteus",2013,8,30.784015,-81.695068
"55654",53012,2,"Urbanus proteus",2013,8,30.784015,-81.695068
"56753",54115,2,"Urbanus proteus",2013,8,30.784015,-81.695068
"56773",54135,2,"Urbanus proteus",2013,8,30.784015,-81.695068
"56782",54145,2,"Urbanus proteus",2013,9,34.261198,-77.866491
"57371",54730,2,"Urbanus proteus",2013,9,30.784015,-81.695068
"57653",55007,2,"Urbanus proteus",2013,9,30.784015,-81.695068
"57655",55016,2,"Urbanus proteus",2013,9,30.784015,-81.695068
"57656",55015,2,"Urbanus proteus",2013,9,30.784015,-81.695068
"58267",55615,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"58273",55622,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"58283",55629,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"58286",55634,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"58293",55640,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"59382",56738,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"59387",56743,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"59467",56819,2,"Urbanus proteus",2013,10,30.784015,-81.695068
"60751",58076,2,"Urbanus proteus",2012,9,37.13657,-75.964513
"60754",58079,2,"Urbanus proteus",2012,10,29.235706,-89.994121
"61872",59194,2,"Urbanus proteus",2013,12,27.514388,-82.658789
